"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.455922249,      -9.280824176,      -10.07188228,      -10.04678606,      -3.846666929,      -11.49841662
          0,           0,           1,      -4.888015366,      -4.823935063,      -5.346305613,      -4.564473672,       -4.26077656,      -11.53473816
          0,           0,           2,      -4.924321136,      -4.780324342,      -5.120033902,      -4.835744705,      -4.305928303,      -11.37070318
          0,           0,           3,        -5.0054927,      -4.827495205,       -5.02288575,      -4.856986876,      -4.405874412,      -11.44469729
          0,           0,           4,      -4.999732536,       -4.84931546,      -4.982706195,      -4.829121503,      -4.405084161,      -11.48582049
          0,           0,           5,      -4.999323714,      -4.852052735,      -4.960102415,      -4.809577897,      -4.403692208,      -11.48625745
          0,           0,           6,      -5.020188135,      -4.857772483,      -4.936731722,      -4.805578649,      -4.423290191,      -11.48580768
          0,           0,           7,      -5.047646054,      -4.863450277,      -4.915502121,      -4.814752097,      -4.448461325,      -11.47685773
          0,           0,           8,      -5.063547823,      -4.863301873,       -4.90422533,      -4.828351996,      -4.460320279,      -11.45707503
          0,           0,           9,         -5.067305,      -4.861978204,      -4.903534217,      -4.838989405,      -4.459531459,      -11.42935134
          0,           0,          10,      -5.068539756,      -4.864486027,      -4.909553061,      -4.846296815,      -4.456723239,      -11.39463501
          0,           0,          11,      -5.073647036,      -4.872799958,      -4.917960015,      -4.853406901,      -4.458881167,      -11.34857035
          0,           0,          12,      -5.083062598,       -4.88584763,      -4.926359044,      -4.863541526,      -4.466400204,      -11.28662794
          0,           0,          13,      -5.095200621,      -4.903442573,      -4.935309941,      -4.877874844,      -4.477835344,      -11.20698764
          0,           0,          14,      -5.108670574,      -4.925109788,      -4.946042434,      -4.895918608,      -4.491327577,      -11.11227226
          0,           0,          15,      -5.121943746,      -4.950163439,      -4.959480229,      -4.916232929,      -4.504796901,      -11.00938132
          0,           0,          16,      -5.135108089,      -4.977335453,      -4.975794731,      -4.937278972,      -4.517628465,      -10.90946764
          0,           0,          17,      -5.148919053,      -5.005664636,      -4.994745665,      -4.958078121,      -4.530507269,      -10.81699034
          0,           0,          18,      -5.163256279,      -5.034900842,      -5.016020614,      -4.978459843,      -4.543798772,       -10.7258096
          0,           0,          19,      -5.178958067,      -5.065502901,      -5.039306879,      -4.998867808,      -4.558910004,      -10.63392686
          0,           0,          20,      -5.196684949,      -5.097959016,      -5.064216176,      -5.019951017,      -4.576829812,      -10.54091885
          0,           0,          21,      -5.215407994,        -5.1325432,      -5.090237819,      -5.042225245,      -4.596589483,      -10.44388972
          0,           0,          22,      -5.232498801,      -5.169276631,       -5.11680659,         -5.066018,      -4.615361685,      -10.34322759
          0,           0,          23,      -5.247951336,      -5.207623128,      -5.143394373,      -5.091338327,      -4.632551383,      -10.24804362
          0,           0,          24,      -5.261267469,      -5.246691444,      -5.169715595,      -5.117933967,      -4.647169285,      -10.16026436
          0,           0,          25,      -5.272874082,      -5.285928848,      -5.195710968,       -5.14568632,      -4.659411014,      -10.07926087
          0,           0,          26,      -5.284405545,      -5.325066374,      -5.221507321,      -5.174522173,      -4.671023097,      -10.01350533
          0,           0,          27,      -5.297510249,      -5.364043292,      -5.247356996,      -5.204482354,      -4.683922415,      -9.956177045
          0,           0,          28,      -5.313197166,       -5.40254133,      -5.273663772,      -5.235653466,      -4.699287889,       -9.90831656
          0,           0,          29,      -5.332026577,      -5.440430891,      -5.300898481,      -5.268163659,      -4.717718195,      -9.868741555
          0,           0,          30,      -5.353024171,      -5.477628948,       -5.32949578,      -5.302272195,      -4.738336422,      -9.838924244
          0,           0,          31,      -5.377955722,      -5.513285876,      -5.359792607,      -5.338272413,       -4.76295598,      -9.815275711
          0,           0,          32,      -5.406113686,      -5.548363272,      -5.392009606,       -5.37651897,      -4.790989468,      -9.797741106
          0,           0,          33,       -5.43778963,      -5.582397984,      -5.426251251,      -5.417189659,      -4.822650176,      -9.784689803
          0,           0,          34,      -5.473744565,      -5.615409319,      -5.462586152,      -5.460428759,      -4.858697655,      -9.775943959
          0,           0,          35,      -5.512728232,      -5.648470825,      -5.501009214,      -5.506301947,      -4.897914803,      -9.770786333
          0,           0,          36,      -5.554362317,      -5.681738091,      -5.541314217,      -5.554681249,      -4.939894601,      -9.767334406
          0,           0,          37,      -5.597769828,      -5.714908234,      -5.583111977,      -5.605361588,      -4.983832623,      -9.764478965
