Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.595438,0,1.70744,-0,6.03988e-08,0,0,0,0,0,0,0.332926,0.23926,0.0345563,0.411436,0.682976,-0.672233,0.00130794,5.37788e-05,4.29318e-05,0.00130975,1.12552,0,0,0,0,8.18824
1,0.589707,0,1.69045,-0,6.0384e-08,0,0,0,0,0,0,0.356096,0.23926,0.0352416,0.430455,0.676181,-0.685822,0.0013245,3.74538e-05,3.172e-05,0.00132541,1.12516,0,0,0,0,8.22746
2,0.582026,0,1.66786,-0,6.03682e-08,0,0,0,0,0,0,0.380087,0.23926,0.0357206,0.450542,0.667143,-0.703898,0.00134853,2.21031e-05,1.94078e-05,0.00134885,1.12477,0,0,0,0,8.27468
3,0.573303,0,1.64206,-0,6.03459e-08,0,0,0,0,0,0,0.404759,0.23926,0.035959,0.471559,0.656824,-0.724537,0.00140938,9.63746e-06,5.57423e-06,0.00140942,1.12422,0,0,0,0,8.41808
4,0.564016,0,1.6146,-0,6.03218e-08,0,0,0,0,0,0,0.429962,0.23926,0.0359234,0.493359,0.645842,-0.746501,0.00141317,-6.01315e-07,-1.03194e-05,0.00141321,1.12362,0,0,0,0,8.38349
5,0.554646,0,1.58696,-0,6.02982e-08,0,0,0,0,0,0,0.455542,0.23926,0.0355879,0.515782,0.634785,-0.768616,0.00146316,-8.17876e-06,-2.79721e-05,0.00146345,1.12304,0,0,0,0,8.47714
6,0.912164,0,2.63734,-0,6.07754e-08,0,0,0,0,0,0,0.829395,0.23926,0.00574421,0.863235,1.05493,0.0716845,1.46712e-05,0.000139276,3.09684e-06,0.000140081,1.13485,0,0,0,0,3.21065
7,0.917704,0,2.65311,-0,6.07713e-08,0,0,0,0,0,0,0.841095,0.23926,0.00423729,0.874474,1.06124,0.0843053,3.0985e-06,0.000140703,4.70719e-06,0.000140816,1.13475,0,0,0,0,3.22526
8,0.922613,0,2.6665,-0,6.07574e-08,0,0,0,0,0,0,0.852113,0.23926,0.0027972,0.88507,1.0666,0.0950142,4.29175e-06,0.000141685,4.66652e-06,0.000141827,1.13441,0,0,0,0,3.24826
9,0.92814,0,2.68084,-0,6.07297e-08,0,0,0,0,0,0,0.862639,0.23926,0.00139669,0.895206,1.07234,0.10649,6.01896e-05,0.000138458,-2.87835e-06,0.000151003,1.13372,0,0,0,0,3.36314
10,0.942028,0,2.71856,-0,6.06894e-08,0,0,0,0,0,0,0.872902,0.23926,0,0.905098,1.08742,0.136664,6.46996e-06,2.30862e-05,-0.000336878,0.00033773,1.13272,0,0,0,0,5.10798
11,0.545239,0,1.55965,-0,6.02867e-08,0,0,0,0,0,0,0.481342,0.23926,0.0349395,0.538662,0.62386,-0.790464,0.00143366,-1.26779e-05,-4.45226e-05,0.0014344,1.12276,0,0,0,0,8.33612
12,0.536666,0,1.53552,-0,6.02988e-08,0,0,0,0,0,0,0.507204,0.23926,0.0339833,0.561832,0.61421,-0.809765,0.00140756,-1.25113e-05,-5.99383e-05,0.00140889,1.12305,0,0,0,0,8.20814
13,0.53448,0,1.53103,-0,6.03514e-08,0,0,0,0,0,0,0.53297,0.23926,0.0327431,0.585127,0.612413,-0.81336,0.00124209,-8.37348e-07,-6.59934e-05,0.00124384,1.12435,0,0,0,0,7.69687
14,0.5548,0,1.59196,-0,6.04285e-08,0,0,0,0,0,0,0.558488,0.23926,0.0312588,0.608384,0.636783,-0.764619,0.000951482,2.86594e-05,-5.90323e-05,0.000953743,1.12626,0,0,0,0,6.84732
15,0.610034,0,1.75354,-0,6.05073e-08,0,0,0,0,0,0,0.583614,0.23926,0.0295814,0.631447,0.701415,-0.635355,0.000612686,7.64418e-05,-4.18185e-05,0.000618851,1.12821,0,0,0,0,5.72984
16,0.684422,0,1.97087,-0,6.05877e-08,0,0,0,0,0,0,0.608208,0.23926,0.027766,0.654167,0.78835,-0.461486,0.000306995,0.000106,-2.1556e-05,0.000325495,1.1302,0,0,0,0,4.3564
17,0.890046,0,2.56393,-0,6.06072e-08,0,0,0,0,0,0,0.310711,0.23926,-0.0336944,0.393601,1.02557,0.012961,0.00113433,-3.31674e-05,-5.02943e-05,0.00113593,1.13068,0,0,0,0,9.25506
18,0.900823,0,2.59559,-0,6.0618e-08,0,0,0,0,0,0,0.28957,0.23926,-0.0326788,0.377047,1.03824,0.0382859,0.00113631,-2.87139e-05,-6.11326e-05,0.00113832,1.13095,0,0,0,0,9.27365
19,0.844434,0,2.43015,-0,6.05624e-08,0,0,0,0,0,0,0.404759,0.23926,-0.035959,0.471559,0.972061,-0.0940618,0.00114151,-5.03198e-05,-5.46319e-06,0.00114263,1.12957,0,0,0,0,9.1656
