Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0,1.12349,231624,0,-270.439,-6.39854,270.514,0.23327,87.7803,-9.69169,2.75375,88.3567,-0.00438,-0.0244406,1.033,1.0333,91258.9,-0.184522,282.97,78.1301,-8.62552,2.44686,78.6428
1,1.10904,226960,0,-270.439,-5.2836,270.49,0.209198,77.9829,-0.882498,2.90116,78.0418,-0.00318696,-0.0201819,1.033,1.0332,89684.9,-0.213375,281.713,70.3137,-0.788702,2.60883,70.3665
2,1.15774,243265,0,-270.439,-7.34626,270.539,0.257366,96.3814,-30.9106,2.52937,101.248,-0.00554046,-0.0280606,1.033,1.0334,95533.8,-0.106159,287.462,83.2488,-26.6901,2.18116,87.4499
3,1.15308,242796,0,-270.439,-8.14217,270.561,0.292139,108.121,-35.9533,4.95334,114.049,-0.00665695,-0.0311008,1.033,1.03349,94851.1,-0.118672,286.557,93.7909,-31.0789,4.26557,98.8981
4,1.21396,263172,0,-270.439,-8.80258,270.582,0.326299,118.576,-66.1169,6.68378,135.928,-0.00772268,-0.0336234,1.033,1.03358,102220,0.016415,293.346,97.6801,-54.4366,5.48598,111.959
5,1.2271,270290,0,-270.439,-9.34351,270.6,0.368969,128.54,-88.1085,0.416166,155.839,-0.00873474,-0.0356896,1.033,1.03365,104148,0.0517438,295.611,104.806,-71.7349,0.353118,127.005
6,1.30522,296818,0,-270.439,-9.77985,270.616,0.420198,138.009,-132.038,3.10424,191.024,-0.00969319,-0.0373563,1.033,1.03372,113132,0.216441,301.952,105.737,-101.145,2.36622,146.343
7,1.37498,321007,0,-270.439,-10.1247,270.628,0.485224,140.281,-186.678,5.42952,233.574,-0.0106003,-0.0386735,1.033,1.03378,120463,0.350822,305.186,102.041,-135.768,3.97953,169.886
8,1.4152,336497,0,-270.439,-10.3891,270.638,0.551224,144.023,-231.916,2.91451,273.013,-0.0114586,-0.0396835,1.033,1.03383,124029,0.416181,305.27,101.945,-163.619,2.01077,192.79
9,1.50098,374331,0,-270.439,-10.5819,270.646,0.642307,103.137,-325.049,1.77452,341.024,-0.0122688,-0.0404199,1.033,1.03386,134231,0.603198,311.57,68.7189,-216.541,1.1735,227.186
10,1.5355,383418,0,-270.439,-10.7104,270.651,0.710469,81.5031,-372.077,5.07269,380.933,-0.0130255,-0.0409106,1.033,1.03389,134375,0.605836,304.891,52.9875,-242.35,3.29854,248.097
11,1.60478,408203,0,-270.439,-10.7821,270.654,0.762918,21.148,-427.938,4.89243,428.488,-0.0137145,-0.0411845,1.033,1.03391,140379,0.715907,304.804,13.3377,-266.553,3.0079,266.903
12,1.564,390037,0,-270.439,-10.8079,270.655,0.793939,-40.0815,-425.724,5.58847,427.643,-0.0143152,-0.041283,1.033,1.03392,132626,0.573786,295.368,-25.6226,-272.216,3.56945,273.443
13,1.57566,390054,0,-270.439,-10.8021,270.654,0.778558,-73.4232,-415.913,4.16211,422.364,-0.014814,-0.0412612,1.033,1.03393,133374,0.587481,294.938,-46.648,-263.9,2.65552,268.004
14,1.51834,372172,0,-270.439,-10.7716,270.653,0.73852,-108.617,-371.123,1.78053,386.695,-0.0152994,-0.0411447,1.033,1.03393,129164,0.510311,296.268,-71.4959,-244.473,1.17088,254.716
15,1.49508,359061,0,-270.439,-10.7035,270.65,0.666118,-152.497,-308.883,0.302087,344.476,-0.0158497,-0.0408845,1.033,1.03393,127735,0.484116,297.748,-102.157,-206.401,0.318641,230.299
16,1.34604,310439,0,-270.439,-10.5849,270.646,0.570633,-163.566,-206.798,1.30848,263.668,-0.0164365,-0.0404312,1.033,1.03392,113818,0.229007,294.315,-121.748,-153.483,0.948402,195.909
17,1.29251,288396,0,-270.439,-10.4068,270.639,0.467415,-151.559,-140.719,-0.278496,206.813,-0.0170286,-0.039751,1.033,1.0339,108697,0.135142,293.092,-117.497,-108.447,-0.189828,159.894
18,1.18874,260848,0,-270.439,-10.163,270.63,0.368869,-123.242,-86.8522,-0.738902,150.773,-0.0176044,-0.0388198,1.033,1.03388,100510,-0.0149341,294.545,-103.674,-73.0659,-0.620976,126.836
19,1.09597,229173,0,-270.439,-9.8469,270.618,0.293426,-106.061,-22.9526,0.0358502,108.517,-0.0181511,-0.0376124,1.033,1.03384,89513.1,-0.216523,284.48,-96.7925,-20.9127,0.0117712,99.0259
20,1.25507,278755,0,-270.439,30.5042,272.154,0.289109,65.0527,-107.772,12.2469,126.478,0.00631847,0.116517,1.033,1.03957,108952,0.139803,302.409,51.8324,-85.876,9.76106,100.78
21,1.28526,280390,0,-270.439,29.8678,272.083,0.2635,70.8763,-92.8805,9.60817,117.229,0.00564084,0.114087,1.033,1.0393,110017,0.159329,298.192,55.1457,-72.267,7.47468,91.2109
22,1.39263,307070,0,-270.439,31.0371,272.214,0.290723,72.8158,-119.426,13.1903,140.495,0.00689078,0.118553,1.033,1.0398,119981,0.341976,300.124,52.292,-85.7238,9.47923,100.861
23,1.30117,300359,0,-270.439,31.4812,272.265,0.390368,51.6965,-170.741,12.1875,178.811,0.00737121,0.120249,1.033,1.04,115226,0.254828,308.5,39.7227,-131.236,9.36315,137.435
24,1.39874,322041,0,-270.439,31.8499,272.308,0.389927,56.099,-182.778,13.9799,191.704,0.0077724,0.121658,1.033,1.04017,123555,0.407493,307.717,40.1068,-130.67,9.99976,137.052
25,1.60851,372359,0,-270.439,32.1548,272.344,0.371073,68.0034,-199.25,11.553,210.851,0.00810604,0.122822,1.033,1.04031,143414,0.771538,310.6,42.2729,-123.877,7.17628,131.088
26,1.1572,236706,0,-270.439,14.5503,270.83,0.0518184,18.0067,-5.65783,7.41297,20.2782,0.00643076,0.0555782,1.033,1.03451,94611.1,-0.123073,284.817,15.5605,-4.88871,6.40546,17.523
27,1.17,240232,0,-270.439,16.7957,270.96,0.0510799,15.4509,-10.3321,8.03035,20.2477,0.00689242,0.0641548,1.033,1.03501,96022.6,-0.0971987,285.904,13.2058,-8.8304,6.86279,17.3051
28,1.14579,233369,0,-270.439,12.2239,270.715,0.0576802,21.0854,-0.369129,7.20815,22.2865,0.00587381,0.0466918,1.033,1.03407,93260.5,-0.14783,283.545,18.4023,-0.321703,6.29032,19.4504
29,1.13416,230176,0,-270.439,9.86298,270.619,0.0678474,24.6757,4.01841,6.7954,25.9079,0.00521442,0.0376738,1.033,1.0337,91951.7,-0.171822,282.435,21.7568,3.54332,5.99106,22.8431
30,1.12057,226593,0,-270.439,7.51732,270.543,0.0817082,28.8881,8.42216,6.37756,30.7592,0.00444843,0.028714,1.033,1.03341,90468.2,-0.199015,281.247,25.7798,7.5161,5.69106,27.4495
31,1.11099,223947,0,-270.439,5.23561,270.489,0.0978065,33.8908,12.1512,5.65506,36.4447,0.00357609,0.0199985,1.033,1.0332,89339.6,-0.219703,280.133,30.5053,10.9373,5.09081,32.8042
32,1.25979,285958,0,-270.439,31.4441,272.261,0.323251,0.721641,-142.059,15.5046,142.904,0.00838032,0.120108,1.033,1.03999,111133,0.179787,307.318,0.5732,-112.901,12.2444,113.564
33,1.43336,322708,0,-270.439,31.8274,272.305,0.298105,0.546503,-149.206,12.5412,149.733,0.00838282,0.121572,1.033,1.04016,125949,0.451381,306.104,0.381479,-104.111,8.72202,104.477
34,1.38725,299248,0,-270.439,30.9825,272.208,0.173985,1.52092,-82.4167,13.9161,83.5971,0.00837451,0.118344,1.033,1.03979,118682,0.318171,298.021,1.09661,-59.3725,10.0288,60.2235
35,1.09021,219709,0,-270.439,-2.50445,270.45,0.171853,61.0088,13.7853,3.35923,62.637,-0.000770506,-0.00956629,1.033,1.03304,87162.9,-0.259606,278.518,55.9594,12.6449,3.07621,57.4527
36,1.09015,219086,0,-270.439,-0.829196,270.44,0.153773,53.2954,16.6872,4.29156,56.0114,0.00041041,-0.0031673,1.033,1.033,87057.9,-0.26153,278.196,48.8892,15.3081,3.94015,51.3811
37,1.09704,222181,0,-270.439,-3.98847,270.468,0.191203,69.5504,9.14988,3.46574,70.2352,-0.00197715,-0.0152348,1.033,1.03311,87971.9,-0.244775,279.354,63.3977,8.34376,3.15435,64.0221
38,1.07996,218675,0,-270.439,8.19761,270.563,0.158162,56.3663,6.05441,8.03112,57.2566,-0.0140416,0.0313126,1.033,1.03357,86861.4,-0.265131,280.193,52.1921,5.61504,7.44542,53.0187
39,1.05767,212216,0,-270.439,5.94134,270.504,0.155952,52.1821,15.7183,7.84536,55.0598,-0.0156055,0.0226942,1.033,1.03337,84312,-0.311865,277.698,49.3361,14.8663,7.42212,52.059
40,1.10092,224348,0,-270.439,10.5077,270.643,0.163878,60.1733,-1.27949,7.71703,60.6796,-0.0123082,0.0401364,1.033,1.03385,89069.5,-0.224655,281.844,54.6565,-1.15711,7.01439,55.1169
41,1.11674,229270,0,-270.439,12.8247,270.743,0.169998,62.9388,-9.04261,7.99571,64.0858,-0.0104563,0.0489868,1.033,1.03421,90971.7,-0.189786,283.784,56.3587,-8.09515,7.16271,57.3859
42,1.13553,234684,0,-270.439,15.1012,270.86,0.176528,65.1863,-17.3267,7.55499,67.8715,-0.00854214,0.0576824,1.033,1.03464,93061.7,-0.151474,285.499,57.4052,-15.2568,6.65631,59.7699
43,1.1476,238728,0,-270.439,17.2929,270.991,0.183579,66.8267,-24.3119,7.85982,71.5447,-0.00662179,0.066054,1.033,1.03513,94598.3,-0.123306,287.162,58.2311,-21.183,6.85151,62.342
44,1.16549,243696,0,-270.439,19.3618,271.131,0.190508,68.5787,-30.8113,7.64641,75.5701,-0.00474608,0.0739568,1.033,1.03565,96497.8,-0.0884883,288.43,58.8404,-26.4345,6.56346,64.8387
45,1.58583,367773,0,-270.439,32.1446,272.342,0.30249,0.271883,-169.971,14.6854,170.604,0.00838321,0.122784,1.033,1.04031,143434,0.771897,315.083,0.17125,-107.231,9.28305,107.632
46,1.50098,304944,0,-270.439,32.4064,272.373,0.884836,-13.3828,-404.049,32.9126,405.608,0.00838244,0.123784,1.033,1.04042,100042,-0.0235124,232.192,-8.88268,-269.178,21.9036,270.213
47,1.09887,220959,0,-270.439,3.06167,270.456,0.116135,39.5411,15.1794,5.51226,42.7117,0.00260336,0.0116947,1.033,1.03307,88051.1,-0.243323,279.139,35.9835,13.8136,5.01653,38.869
