"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.633166184287165e-05, 1.319925964874862e+00, 7.005181944033606e-01, 1.018734512840811e-01, 3.776451561091691e+00
1, 9.990000128750000e-01, -1.454239739628101e-04, 1.186792423610489e+00, 7.033210827837649e-01, 1.027211452848502e-01, 3.407590996870745e+00
2, 9.977599978450000e-01, -3.269772386524966e-04, 1.178003113559871e+00, 7.556706043089479e-01, 1.119922450802590e-01, 3.392762468537069e+00
3, 9.960200190539999e-01, -5.870663991624611e-04, 1.164652700654069e+00, 7.758407716775984e-01, 1.188701660455286e-01, 3.359909158138931e+00
4, 9.937800168990000e-01, -9.367685942757525e-04, 1.156183385089009e+00, 7.845288465867727e-01, 1.273128476557364e-01, 3.338510921922430e+00
5, 9.910500049590000e-01, -1.393597159728455e-03, 1.150347441674010e+00, 7.926340786197174e-01, 1.393240635398114e-01, 3.324434648336532e+00
6, 9.878399968150000e-01, -1.980866694438355e-03, 1.142718953355464e+00, 7.998339578901986e-01, 1.541478823018479e-01, 3.305436346668539e+00
7, 9.841300249100000e-01, -2.727249300402890e-03, 1.132237576039760e+00, 8.098090324268670e-01, 1.704008775300827e-01, 3.279337929834096e+00
8, 9.799500107769999e-01, -3.641085944582002e-03, 1.117738619779985e+00, 8.237212136928489e-01, 1.855153522182985e-01, 3.243163563386686e+00
9, 9.752799868580000e-01, -4.720421139454659e-03, 1.099340692001648e+00, 8.415809637291106e-01, 1.963428915073852e-01, 3.197208153362817e+00
10, 9.701499938960000e-01, -5.927453785782457e-03, 1.078147682767884e+00, 8.620135357013068e-01, 2.003698559629299e-01, 3.144175019567018e+00
11, 9.645400047300000e-01, -7.216865316843409e-03, 1.056473318181198e+00, 8.824115197738758e-01, 1.965475225027784e-01, 3.089788357817107e+00
12, 9.584699869160000e-01, -8.529047694396042e-03, 1.037760754893714e+00, 9.000082515711751e-01, 1.859902519281117e-01, 3.042773011586281e+00
13, 9.519400000570000e-01, -9.820705936455006e-03, 1.024583359404651e+00, 9.129235177261907e-01, 1.716868839044659e-01, 3.009659202231672e+00
14, 9.449599981310000e-01, -1.106977299179892e-02, 1.017483019960196e+00, 9.207671905744134e-01, 1.572243524499554e-01, 2.991827215911491e+00
15, 9.375399947170000e-01, -1.227955931224156e-02, 1.015023651613724e+00, 9.244255947412116e-01, 1.453895464172337e-01, 2.985634602492420e+00
