"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 9.997500181200000e-01, -3.633181114024860e-05, 3.350760523223873e-01, -8.237852962005633e-01, -1.146305867216380e-01, 2.333556065800976e-01, 0.000000000000000e+00, 0.000000000000000e+00, -1.725029556220274e+00
1, 9.990000128750000e-01, -1.454333976902335e-04, -4.205928473617662e-02, -4.725390950136467e-02, -9.068851603315504e-02, 4.707185526738716e-03, 0.000000000000000e+00, 0.000000000000000e+00, 9.655770620767453e-01
2, 9.977599978450000e-01, -3.270805356876791e-04, -5.665122811099318e-02, 6.109250498150027e-03, -1.185883852146438e-01, -3.297708261468800e-03, 0.000000000000000e+00, 0.000000000000000e+00, 8.144412208287007e-02
3, 9.960200190539999e-01, -5.876236252841220e-04, -7.639093905718179e-02, 4.529433330475725e-02, -1.169736042838156e-01, -1.131374057667773e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.662269804767829e-02
4, 9.937800168990000e-01, -9.387789225611957e-04, -9.710685982902410e-02, 8.298950840432777e-02, -1.247111965538117e-01, -1.978342886694311e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.849261808378147e-02
5, 9.910500049590000e-01, -1.399141237195883e-03, -1.057553660381713e-01, 1.003657024581621e-01, -1.363994916859065e-01, -2.310909312907574e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.653133973204496e-02
6, 9.878399968150000e-01, -1.993430099513760e-03, -1.072281565619663e-01, 1.069054960642510e-01, -1.520045565169132e-01, -2.428748365727960e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.947470952952450e-02
7, 9.841300249100000e-01, -2.751780846950266e-03, -1.002859447081417e-01, 1.011765158207366e-01, -1.704839268699123e-01, -2.309083871224437e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.423002043508244e-02
8, 9.799500107769999e-01, -3.683262560780190e-03, -8.397132099119416e-02, 8.207332937733436e-02, -1.893385272406872e-01, -1.937620111280869e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.945707144984767e-02
9, 9.752799868580000e-01, -4.785675754792572e-03, -5.869650406574194e-02, 5.027157346977586e-02, -2.051648091401376e-01, -1.327190871843463e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.451418303445594e-02
10, 9.701499938960000e-01, -6.019376212422453e-03, -2.675234714465553e-02, 9.074487424664169e-03, -2.144618872235060e-01, -5.362068884226461e-03, 0.000000000000000e+00, 0.000000000000000e+00, 9.692621075492862e-03
11, 9.645400047300000e-01, -7.336389307793182e-03, 7.603154008937523e-03, -3.570469522966156e-02, -2.147226717414879e-01, 3.259463625083000e-03, 0.000000000000000e+00, 0.000000000000000e+00, 4.980077003383460e-03
12, 9.584699869160000e-01, -8.673975977369528e-03, 3.840454326937250e-02, -7.630945479736721e-02, -2.056000828667565e-01, 1.107858956706592e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.278084814273201e-03
13, 9.519400000570000e-01, -9.986468583522291e-03, 6.018775295701848e-02, -1.057157574224415e-01, -1.897597972782633e-01, 1.662109464887452e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.932625683379482e-04
14, 9.449599981310000e-01, -1.125069571306422e-02, 7.049322410309825e-02, -1.206449344224450e-01, -1.717948527761150e-01, 1.920744916534959e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.579657209600216e-03
