Point ID,Density,Energy,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0,1.31117,3.75701,0.457574,0.730974,0.106178,0,0.738646,0.99975,-3.6329e-05,0,0.99975,1.41958,0.936567,1.08268,0.557496,0.0809794,0,0.563347
1,1.17227,3.37141,0.510711,0.725867,0.105334,0,0.73347,0.999,-0.000145254,0,0.999,1.25678,0.573165,1.07209,0.619199,0.0898552,0,0.625685
2,1.15993,3.34788,0.558438,0.781593,0.113238,0,0.789753,0.99776,-0.000325111,0,0.99776,1.23161,0.516982,1.06179,0.673826,0.0976246,0,0.680861
3,1.14194,3.3036,0.587839,0.807464,0.116723,0,0.815857,0.99602,-0.000576998,0,0.99602,1.20486,0.457284,1.0551,0.707096,0.102214,0,0.714445
4,1.12835,3.2693,0.606779,0.82187,0.118462,0,0.830363,0.99378,-0.000900437,0,0.99378,1.1855,0.414072,1.05065,0.72838,0.104987,0,0.735908
5,1.11866,3.24558,0.623086,0.835208,0.119962,0,0.843779,0.99105,-0.00129336,0,0.991051,1.17094,0.381572,1.04674,0.746616,0.107238,0,0.754278
6,1.10973,3.2233,0.636504,0.845128,0.120884,0,0.853729,0.98784,-0.00175361,0,0.987842,1.15796,0.352594,1.04347,0.761565,0.108932,0,0.769316
7,1.10184,3.20367,0.64857,0.853883,0.121559,0,0.862492,0.98413,-0.00228318,0,0.984133,1.14644,0.326876,1.04048,0.774964,0.110324,0,0.782777
8,1.09456,3.18553,0.659546,0.861553,0.121994,0,0.870147,0.97995,-0.00287683,0,0.979954,1.13586,0.30327,1.03773,0.78712,0.111455,0,0.794972
9,1.08779,3.16861,0.669709,0.868436,0.12224,0,0.876997,0.97528,-0.00353632,0,0.975286,1.12603,0.281328,1.03516,0.798351,0.112375,0,0.806221
10,1.0814,3.15265,0.679225,0.874687,0.122318,0,0.883198,0.97015,-0.00425627,0,0.970159,1.11679,0.260703,1.03273,0.808845,0.113111,0,0.816715
11,1.07533,3.13744,0.688219,0.880421,0.122249,0,0.888868,0.96454,-0.00503823,0,0.964553,1.10803,0.241134,1.03041,0.818744,0.113685,0,0.8266
12,1.06952,3.12288,0.696783,0.885732,0.122048,0,0.894102,0.95847,-0.00587808,0,0.958488,1.09966,0.222462,1.02818,0.828155,0.114115,0,0.83598
13,1.06394,3.10887,0.704971,0.890667,0.121726,0,0.898946,0.95194,-0.00677443,0,0.951964,1.09164,0.20455,1.02603,0.837139,0.114411,0,0.844921
14,1.05856,3.09533,0.712843,0.895287,0.121294,0,0.903466,0.94496,-0.00772447,0,0.944992,1.08391,0.187303,1.02395,0.845763,0.114584,0,0.85349
15,1.05334,3.08222,0.72043,0.899623,0.12076,0,0.907691,0.93754,-0.00872535,0,0.937581,1.07645,0.170649,1.02194,0.854063,0.114644,0,0.861723
16,1.04829,3.06947,0.727772,0.90371,0.120131,0,0.91166,0.92969,-0.00977422,0,0.929741,1.06922,0.154509,1.01997,0.862084,0.114598,0,0.869668
17,1.04335,3.05704,0.734902,0.907576,0.119417,0,0.915398,0.9214,-0.0108709,0,0.921464,1.06219,0.138813,1.01805,0.869863,0.114455,0,0.877361
18,1.03855,3.0449,0.741838,0.911243,0.11862,0,0.918931,0.9127,-0.0120097,0,0.912779,1.05534,0.123533,1.01617,0.877421,0.114217,0,0.884824
19,1.03384,3.03301,0.748595,0.914717,0.117747,0,0.922265,0.90358,-0.0131906,0,0.903676,1.04866,0.108614,1.01433,0.884774,0.113893,0,0.892074
20,1.02924,3.02137,0.755201,0.918034,0.116804,0,0.925435,0.89406,-0.0144092,0,0.894176,1.04213,0.0940387,1.01252,0.891953,0.113486,0,0.899144
21,1.02473,3.00995,0.761662,0.921196,0.115794,0,0.928445,0.88415,-0.0156627,0,0.884289,1.03574,0.0797761,1.01074,0.898965,0.113,0,0.906039
22,1.02029,2.9987,0.76799,0.924203,0.114721,0,0.931295,0.87385,-0.0169496,0,0.874014,1.02947,0.0657718,1.00899,0.905824,0.112439,0,0.912776
