"EVALUATION"    , "DRAG"          , "EFFICIENCY"    , "FORCE_X"       , "FORCE_Y"       , "FORCE_Z"       , "LIFT"          , "MOMENT_X"      , "MOMENT_Y"      , "MOMENT_Z"      , "SIDEFORCE"     , "Time_Iter"     , "Outer_Iter"    , "Inner_Iter"    , "RMS_DENSITY"   , "RMS_MOMENTUM-X", "RMS_MOMENTUM-Y", "RMS_ENERGY"    , "RefForce"      
1               , 0.02148054548   , 15.29226589     , 0.01430954472   , 0.3288766378    , 0.0             , 0.328486213     , 0.0             , 0.0             , 0.03411494339   , 0.0             , 0.0             , 0.0             , 469.0           , -13.02268522    , -13.39987168    , -13.61790567    , -12.46043593    , 0.448           
2               , 0.009219632258  , 26.04165955     , 0.003979803787  , 0.2402385137    , 0.0             , 0.2400945244    , 0.0             , 0.0             , 0.00197629125   , 0.0             , 0.0             , 0.0             , 494.0           , -13.01218119    , -13.68195006    , -13.58003567    , -12.45738881    , 0.448           
3               , 0.004102001897  , -1.386445991    , 0.004225091435  , -0.005596365984 , 0.0             , -0.005687204084 , 0.0             , 0.0             , -0.03642960621  , 0.0             , 0.0             , 0.0             , 558.0           , -13.00730154    , -13.62334011    , -13.47676248    , -12.45469643    , 0.448           
4               , 0.00275859522   , 11.11524249     , 0.002089040822  , 0.03071533641   , 0.0             , 0.03066245481   , 0.0             , 0.0             , -0.03393039318  , 0.0             , 0.0             , 0.0             , 613.0           , -13.0065302     , -13.70203942    , -13.48777531    , -12.45308083    , 0.448           
5               , 0.01152670796   , 15.30415815     , 0.007675676053  , 0.1766160354    , 0.0             , 0.1764065616    , 0.0             , 0.0             , -0.008691347512 , 0.0             , 0.0             , 0.0             , 603.0           , -13.0070972     , -13.8732665     , -13.51188571    , -12.45548889    , 0.448           
6               , 0.002284862825  , 20.59187414     , 0.001257937306  , 0.04708825521   , 0.0             , 0.04704960772   , 0.0             , 0.0             , -0.03304920374  , 0.0             , 0.0             , 0.0             , 611.0           , -13.00981765    , -13.65794529    , -13.51188441    , -12.4569852     , 0.448           
7               , 0.03867490495   , 6.08890479      , 0.03352856178   , 0.2362754629    , 0.0             , 0.235487814     , 0.0             , 0.0             , 0.02814458101   , 0.0             , 0.0             , 0.0             , 615.0           , -13.01166995    , -13.83699456    , -13.5350746     , -12.46263646    , 0.448           
8               , 0.001648807007  , 47.13465307     , -4.694979745e-05, 0.07773342048   , 0.0             , 0.07771594624   , 0.0             , 0.0             , -0.03129708312  , 0.0             , 0.0             , 0.0             , 651.0           , -13.00528491    , -13.89433902    , -13.51612942    , -12.45263958    , 0.448           
9               , 0.07688454346   , 3.153545446     , 0.07157703395   , 0.2440784307    , 0.0             , 0.2424589019    , 0.0             , 0.0             , 0.06108006341   , 0.0             , 0.0             , 0.0             , 444.0           , -13.00803486    , -13.4366768     , -13.55126171    , -12.44821716    , 0.448           
10              , 0.001989266147  , 64.27176982     , -0.0008003200496, 0.1278666258    , 0.0             , 0.1278536559    , 0.0             , 0.0             , -0.02506815848  , 0.0             , 0.0             , 0.0             , 583.0           , -13.01063874    , -13.82972677    , -13.53896859    , -12.46060367    , 0.448           
11              , 0.001571149974  , 52.66512429     , -0.0002342924052, 0.08275939209   , 0.0             , 0.08274480866   , 0.0             , 0.0             , -0.03095545187  , 0.0             , 0.0             , 0.0             , 653.0           , -13.01494835    , -13.92424085    , -13.58735947    , -12.46461877    , 0.448           
12              , 0.03429922272   , 6.749032963     , 0.0292412072    , 0.2321797308    , 0.0             , 0.2314865847    , 0.0             , 0.0             , 0.03132008743   , 0.0             , 0.0             , 0.0             , 580.0           , -13.01546293    , -13.84412156    , -13.52681173    , -12.46610956    , 0.448           
13              , 0.001336987069  , 83.34322507     , -0.001094137869 , 0.1114314634    , 0.0             , 0.1114288142    , 0.0             , 0.0             , -0.02796295558  , 0.0             , 0.0             , 0.0             , 592.0           , -13.00712441    , -13.78890084    , -13.58182586    , -12.45532269    , 0.448           
14              , 0.001566854712  , 74.1558064      , -0.0009682196375, 0.116197905     , 0.0             , 0.1161913747    , 0.0             , 0.0             , -0.02597932201  , 0.0             , 0.0             , 0.0             , 635.0           , -13.00083643    , -13.91643701    , -13.54465308    , -12.45132287    , 0.448           
15              , 0.001311934253  , 85.48376576     , -0.001134897247 , 0.1121510117    , 0.0             , 0.1121490804    , 0.0             , 0.0             , -0.02783729929  , 0.0             , 0.0             , 0.0             , 582.0           , -13.01002113    , -13.80356673    , -13.57749639    , -12.45614443    , 0.448           
16              , 0.003253939864  , 16.58151536     , 0.002076137855  , 0.05401339826   , 0.0             , 0.05395525383   , 0.0             , 0.0             , -0.03099815676  , 0.0             , 0.0             , 0.0             , 722.0           , -13.01004281    , -13.62236418    , -13.54029824    , -12.45575484    , 0.448           
17              , 0.001204646231  , 89.92542611     , -0.001158810412 , 0.1083288256    , 0.0             , 0.1083283256    , 0.0             , 0.0             , -0.02845528423  , 0.0             , 0.0             , 0.0             , 595.0           , -13.00828767    , -13.94976892    , -13.49450311    , -12.45717007    , 0.448           
18              , 0.00842756237   , -6.346722658    , 0.009592378343  , -0.05329082619  , 0.0             , -0.05348740105  , 0.0             , 0.0             , -0.04008773278  , 0.0             , 0.0             , 0.0             , 693.0           , -13.01000736    , -13.4565532     , -13.63621158    , -12.45300541    , 0.448           
19              , 0.001086120102  , 89.54132495     , -0.001035693373 , 0.0972531831    , 0.0             , 0.09725263301   , 0.0             , 0.0             , -0.03033252321  , 0.0             , 0.0             , 0.0             , 645.0           , -13.00302717    , -13.89278023    , -13.56473784    , -12.45373085    , 0.448           
20              , 0.00886774216   , -14.39543892    , 0.01165041191   , -0.1274312134   , 0.0             , -0.1276550406   , 0.0             , 0.0             , -0.05393283866  , 0.0             , 0.0             , 0.0             , 757.0           , -13.00961409    , -13.55414705    , -13.47895294    , -12.45354294    , 0.448           
21              , 0.00108149161   , 75.1440491      , -0.0006916103862, 0.08127191178   , 0.0             , 0.08126765866   , 0.0             , 0.0             , -0.03312125578  , 0.0             , 0.0             , 0.0             , 682.0           , -13.00268102    , -13.91280135    , -13.52332601    , -12.45341328    , 0.448           
22              , 0.008451443434  , -22.31530571    , 0.01256364414   , -0.1883672958   , 0.0             , -0.1885965439   , 0.0             , 0.0             , -0.0695610028   , 0.0             , 0.0             , 0.0             , 706.0           , -13.01306895    , -13.32735666    , -13.54499365    , -12.45248784    , 0.448           
23              , 0.001218989595  , 51.09258029     , -0.0001399604092, 0.06229309463   , 0.0             , 0.06228132378   , 0.0             , 0.0             , -0.03658953738  , 0.0             , 0.0             , 0.0             , 668.0           , -13.00144985    , -13.70169455    , -13.50764166    , -12.44957901    , 0.448           
24              , 0.001089672494  , 72.85531213     , -0.0006424362848, 0.07939330844   , 0.0             , 0.07938842965   , 0.0             , 0.0             , -0.03347665011  , 0.0             , 0.0             , 0.0             , 685.0           , -13.00231082    , -13.90716609    , -13.5229757     , -12.45326538    , 0.448           
25              , 0.001082260483  , 74.91759141     , -0.0006867555505, 0.08108466313   , 0.0             , 0.08108034867   , 0.0             , 0.0             , -0.03315680201  , 0.0             , 0.0             , 0.0             , 683.0           , -13.01208198    , -13.92254086    , -13.53187267    , -12.46286743    , 0.448           
26              , 0.001081568047  , 75.12142172     , -0.0006911253902, 0.0812531886    , 0.0             , 0.08124892936   , 0.0             , 0.0             , -0.0331248111   , 0.0             , 0.0             , 0.0             , 682.0           , -13.00238064    , -13.91257173    , -13.52306491    , -12.45311387    , 0.448           
27              , 0.001081499249  , 75.14178654     , -0.0006915618915, 0.08127003948   , 0.0             , 0.08126578575   , 0.0             , 0.0             , -0.03312161132  , 0.0             , 0.0             , 0.0             , 682.0           , -13.00265028    , -13.91293569    , -13.52329265    , -12.45338084    , 0.448           
28              , 0.001081492374  , 75.14382284     , -0.0006916055368, 0.08127172455   , 0.0             , 0.08126747137   , 0.0             , 0.0             , -0.03312129133  , 0.0             , 0.0             , 0.0             , 682.0           , -13.00267599    , -13.91304881    , -13.52331062    , -12.45340766    , 0.448           
29              , 0.001081491687  , 75.14402647     , -0.0006916099012, 0.08127189305   , 0.0             , 0.08126763994   , 0.0             , 0.0             , -0.03312125933  , 0.0             , 0.0             , 0.0             , 682.0           , -13.00268066    , -13.9128971     , -13.52332457    , -12.45341278    , 0.448           
30              , 0.001081491618  , 75.14404683     , -0.0006916103377, 0.08127190991   , 0.0             , 0.08126765679   , 0.0             , 0.0             , -0.03312125613  , 0.0             , 0.0             , 0.0             , 682.0           , -13.00268119    , -13.91281243    , -13.52332241    , -12.45341313    , 0.448           
31              , 0.001081491611  , 75.14404887     , -0.0006916103813, 0.08127191159   , 0.0             , 0.08126765848   , 0.0             , 0.0             , -0.03312125581  , 0.0             , 0.0             , 0.0             , 682.0           , -13.0026797     , -13.91293558    , -13.52332968    , -12.45341137    , 0.448           
32              , 0.00108149161   , 75.14404907     , -0.0006916103857, 0.08127191176   , 0.0             , 0.08126765865   , 0.0             , 0.0             , -0.03312125578  , 0.0             , 0.0             , 0.0             , 682.0           , -13.00268109    , -13.91290721    , -13.52331735    , -12.45341143    , 0.448           
