Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.98311,0,220.429,-0,6.66497e-07,0,0,0,0,0,0,1,0,-4.43113e-09,1,88.1714,-0.0240204,-0.000381551,1.07036e-19,-0.00279329,0.00281923,1.01704,0,0,0,0,0.447423
1,0.998448,0,220.496,-0,6.58768e-07,0,0,0,0,0,0,0.997983,0,-2.13477e-05,0.997983,88.1983,0.0296866,0.00387109,0,4.11387e-05,0.00387131,1.00172,0,0,0,0,0.530959
2,0.998495,0,220.509,-0,6.58775e-07,0,0,0,0,0,0,0.99592,0,-4.3361e-05,0.99592,88.2036,0.0403156,0.00391108,0,4.19165e-05,0.00391131,1.00174,0,0,0,0,0.533679
3,0.998538,0,220.52,-0,6.58779e-07,0,0,0,0,0,0,0.99381,0,-6.60757e-05,0.99381,88.2081,0.0494071,0.00425932,0,4.60483e-05,0.00425957,1.00175,0,0,0,0,0.55692
4,0.998585,0,220.53,-0,6.58777e-07,0,0,0,0,0,0,0.99165,0,-8.95248e-05,0.99165,88.2119,0.0568989,0.00440859,0,4.80924e-05,0.00440885,1.00174,0,0,0,0,0.566594
5,0.998625,0,220.538,-0,6.58775e-07,0,0,0,0,0,0,0.98944,0,-0.000113743,0.98944,88.2152,0.063555,0.004366,0,4.80711e-05,0.00436627,1.00174,0,0,0,0,0.56385
6,0.998663,0,220.546,-0,6.58774e-07,0,0,0,0,0,0,0.987178,0,-0.000138769,0.987178,88.2184,0.0699205,0.00424427,0,4.71791e-05,0.00424453,1.00174,0,0,0,0,0.555935
7,0.998699,0,220.554,-0,6.58774e-07,0,0,0,0,0,0,0.984861,0,-0.000164641,0.984861,88.2215,0.0762136,0.00412697,1.89024e-25,4.63288e-05,0.00412723,1.00174,0,0,0,0,0.548202
8,0.998733,0,220.562,-0,6.58775e-07,0,0,0,0,0,0,0.982489,0,-0.000191403,0.982489,88.2246,0.0824385,0.00404283,1.20378e-25,4.58469e-05,0.00404309,1.00174,0,0,0,0,0.542589
9,0.998766,0,220.569,-0,6.58776e-07,0,0,0,0,0,0,0.980059,0,-0.000219098,0.980059,88.2277,0.0885182,0.00398594,0,4.56765e-05,0.0039862,1.00174,0,0,0,0,0.538763
10,0.998797,0,220.577,-0,6.58777e-07,0,0,0,0,0,0,0.97757,0,-0.000247775,0.97757,88.2306,0.0943898,0.00394164,-7.59915e-26,4.56578e-05,0.00394191,1.00174,0,0,0,0,0.535768
11,0.998827,0,220.584,-0,6.58777e-07,0,0,0,0,0,0,0.975019,0,-0.000277486,0.975019,88.2334,0.100036,0.00390046,-4.48785e-28,4.56845e-05,0.00390072,1.00174,0,0,0,0,0.53297
12,0.998856,0,220.59,-0,6.58778e-07,0,0,0,0,0,0,0.972404,0,-0.000308284,0.972404,88.2362,0.105477,0.00385956,6.54854e-26,4.57249e-05,0.00385983,1.00174,0,0,0,0,0.530178
13,0.998885,0,220.597,-0,6.58779e-07,0,0,0,0,0,0,0.969723,0,-0.000340227,0.969723,88.2388,0.110742,0.00381952,2.67905e-27,4.5786e-05,0.0038198,1.00175,0,0,0,0,0.527431
14,0.998912,0,220.603,-0,6.5878e-07,0,0,0,0,0,0,0.966973,0,-0.000373379,0.966973,88.2414,0.115869,0.00378109,2.49369e-27,4.58776e-05,0.00378137,1.00175,0,0,0,0,0.524783
15,0.998938,0,220.609,-0,6.58781e-07,0,0,0,0,0,0,0.964153,0,-0.000407806,0.964153,88.2438,0.12073,0.00374514,0,4.60116e-05,0.00374542,1.00175,0,0,0,0,0.522295
16,0.998963,0,220.615,-0,6.58782e-07,0,0,0,0,0,0,0.961259,0,-0.000443578,0.96126,88.2462,0.125526,0.00371154,0,4.61881e-05,0.00371183,1.00175,0,0,0,0,0.519961
