"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       -3.52753396,      -3.594713238,      -4.106867775,      -2.833416459
          0,           0,           1,      -3.868139825,      -3.736592295,      -3.734878588,      -3.168307934
          0,           0,           2,      -3.838194456,      -3.709210176,      -3.820491304,      -3.140352306
          0,           0,           3,      -3.832918362,      -3.667483837,      -3.829354457,      -3.133094085
          0,           0,           4,       -3.86341168,      -3.683735166,      -3.867859434,      -3.163003633
          0,           0,           5,      -3.880264444,      -3.709856168,      -3.923522793,      -3.186143273
          0,           0,           6,      -3.895087324,      -3.736969403,      -3.921474248,      -3.201935521
          0,           0,           7,      -3.924028871,      -3.772287972,      -3.958023302,      -3.224345075
          0,           0,           8,      -3.937754919,      -3.802096984,      -4.005394383,      -3.245757222
          0,           0,           9,      -3.959704673,      -3.823886836,      -4.029985504,      -3.260287837
          0,           0,          10,      -3.989065759,      -3.850810747,      -4.042929533,      -3.286743994
          0,           0,          11,      -4.035926745,      -3.892761343,      -4.087758428,      -3.323065333
          0,           0,          12,      -4.066698479,      -3.946115155,      -4.139821319,      -3.363708598
          0,           0,          13,      -4.103488341,       -4.00771732,       -4.21613876,      -3.403354601
          0,           0,          14,      -4.138007199,      -4.053556559,      -4.257224139,      -3.443563093
          0,           0,          15,      -4.194484288,      -4.098473118,      -4.292593742,      -3.487671996
          0,           0,          16,      -4.261122246,       -4.14793612,       -4.31495004,      -3.549190922
          0,           0,          17,      -4.336683791,      -4.222235221,      -4.370845766,      -3.622132437
          0,           0,          18,      -4.351732602,      -4.302137778,      -4.438066852,      -3.650428922
          0,           0,          19,      -4.319693417,      -4.362882033,      -4.507565686,      -3.634247145
          0,           0,          20,      -4.301216838,      -4.390734184,      -4.551772324,      -3.600362298
          0,           0,          21,      -4.316081387,      -4.423080431,      -4.587821735,      -3.598524339
          0,           0,          22,      -4.359562205,      -4.485635477,      -4.634867989,      -3.655833848
          0,           0,          23,      -4.416128278,       -4.53707363,      -4.724084493,      -3.709847883
          0,           0,          24,      -4.488972993,      -4.589410065,       -4.81813638,      -3.775257069
