"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,           0,      -5.284698573,      -5.300112177,      -6.421032795,      -6.123929676,      -4.713187049
          0,           0,           1,      -5.158735621,       -4.95996057,      -5.301845675,      -5.076859499,       -4.58280552
          0,           0,           2,      -4.968738336,      -4.779719199,      -5.187136071,      -5.032284786,      -4.387496013
          0,           0,           3,      -4.843280991,      -4.683924084,       -5.11394962,      -4.931079022,      -4.269433423
          0,           0,           4,      -4.767912528,      -4.643244154,      -5.035952541,      -4.863823473,      -4.193741277
          0,           0,           5,      -4.754390285,      -4.687124372,       -4.98050448,      -4.815281206,      -4.183794745
          0,           0,           6,      -4.745621424,       -4.81294883,      -5.002108262,      -4.847781465,      -4.186601711
          0,           0,           7,      -4.727248316,      -4.828160578,      -5.004412901,      -4.886607031,      -4.151645062
          0,           0,           8,      -4.736716522,      -4.781337574,      -4.982252466,      -4.861935194,      -4.161143342
          0,           0,           9,      -4.759988791,      -4.785369838,      -5.006909488,      -4.854166514,      -4.181119276
          0,           0,          10,      -4.827037489,      -4.890897871,      -5.078399455,      -4.899717889,      -4.245574774
          0,           0,          11,      -4.884273211,       -5.02307093,      -5.175351106,      -5.007469012,      -4.307965713
          0,           0,          12,      -4.939260309,      -5.122525536,       -5.22196927,      -5.086117645,      -4.381721371
          0,           0,          13,      -4.996078069,      -5.159586919,      -5.250437156,      -5.136616859,      -4.433582464
          0,           0,          14,      -5.060564296,      -5.151868158,      -5.294234502,      -5.182077963,      -4.477815399
          0,           0,          15,      -5.115678438,      -5.168092739,      -5.368931055,      -5.247359229,       -4.52678784
          0,           0,          16,      -5.177632322,      -5.222450201,      -5.471851966,      -5.326125588,      -4.588958626
          0,           0,          17,      -5.243539641,      -5.296068417,      -5.561031922,      -5.387732693,      -4.670419986
          0,           0,          18,      -5.323952309,      -5.397487641,      -5.655058718,      -5.456593398,      -4.756515333
          0,           0,          19,      -5.424521881,      -5.509898805,      -5.735894378,      -5.537879571,      -4.849006194
          0,           0,          20,      -5.526247704,      -5.621333946,      -5.804994157,      -5.633448529,      -4.942105031
          0,           0,          21,      -5.619094633,      -5.723451325,      -5.872212925,      -5.740092454,      -5.031145109
          0,           0,          22,      -5.696571915,       -5.80732894,      -5.933355505,      -5.835928503,      -5.119252355
          0,           0,          23,      -5.779228274,      -5.898068694,      -6.015773301,      -5.934076378,      -5.204612471
          0,           0,          24,      -5.878654569,      -5.994869704,       -6.11956262,      -6.025671775,      -5.299404346
          0,           0,          25,      -5.984634387,      -6.094104134,      -6.239486108,      -6.113780425,      -5.400682822
          0,           0,          26,      -6.089617726,      -6.189323798,       -6.36378307,      -6.204854467,      -5.502703583
          0,           0,          27,        -6.1923875,      -6.277765532,      -6.477830299,      -6.304011081,      -5.603994471
          0,           0,          28,      -6.293623504,       -6.36181722,      -6.573519163,       -6.41338648,      -5.705019453
          0,           0,          29,      -6.395045193,      -6.446198669,      -6.658161573,      -6.531594023,      -5.807011299
          0,           0,          30,      -6.498390124,      -6.535104887,      -6.746542405,      -6.654011167,      -5.911026692
          0,           0,          31,      -6.605232428,      -6.631244249,      -6.847894393,      -6.772715915,      -6.018186464
          0,           0,          32,      -6.717067802,       -6.73566869,      -6.962954329,      -6.879229886,      -6.129841579
          0,           0,          33,       -6.83334544,      -6.846500342,      -7.086191332,      -6.971987968,      -6.245667401
          0,           0,          34,      -6.950164623,      -6.958537295,      -7.208875302,      -7.058640825,      -6.362236828
          0,           0,          35,      -7.062464554,      -7.065809808,      -7.323309463,      -7.148511077,      -6.474861115
          0,           0,          36,      -7.168064279,      -7.165741595,       -7.42732138,      -7.246440643,      -6.581278691
          0,           0,          37,      -7.268909235,      -7.260458163,      -7.524895581,      -7.352381297,      -6.683002301
          0,           0,          38,      -7.368409926,      -7.354028962,      -7.621733481,      -7.462801397,      -6.783070684
          0,           0,          39,      -7.468417925,      -7.449218223,      -7.721792027,      -7.572159438,      -6.883259115
          0,           0,          40,      -7.568340156,      -7.546331497,      -7.826338214,      -7.674621902,      -6.983080533
          0,           0,          41,      -7.665857055,      -7.643585825,      -7.934025542,      -7.766650173,      -7.080394633
          0,           0,          42,      -7.758765118,       -7.73858023,      -8.042665786,      -7.848313618,      -7.173161312
          0,           0,          43,      -7.845700272,      -7.829240778,       -8.14766311,      -7.922088642,      -7.260098347
          0,           0,          44,      -7.927478207,      -7.914622279,      -8.245490589,      -7.992852174,      -7.342163312
          0,           0,          45,      -8.006007884,      -7.995999697,      -8.335374719,      -8.063583959,      -7.420949252
          0,           0,          46,      -8.083602297,      -8.074696117,      -8.415755924,      -8.135067917,      -7.500504639
          0,           0,          47,       -8.16012865,      -8.151322375,      -8.495679027,      -8.205509699,      -7.577478676
          0,           0,          48,      -8.236064532,      -8.225446456,      -8.574057192,      -8.273611896,      -7.653782438
          0,           0,          49,      -8.310381391,      -8.296860128,        -8.6495103,      -8.338635146,      -7.728852504
          0,           0,          50,      -8.383505719,      -8.366927304,      -8.702934769,      -8.404290454,      -7.808714208
          0,           0,          51,      -8.450044479,      -8.432515927,      -8.767504888,       -8.46574299,      -7.878006452
          0,           0,          52,      -8.512310108,      -8.491185261,      -8.837395947,      -8.523152631,      -7.939432525
          0,           0,          53,      -8.570603709,      -8.544698998,      -8.906172743,      -8.577358307,      -7.996410444
          0,           0,          54,      -8.632187599,      -8.604060367,      -8.954225322,      -8.639164779,      -8.064168618
          0,           0,          55,      -8.687183636,      -8.658485309,      -9.016891912,      -8.695692321,      -8.120645203
          0,           0,          56,       -8.74021536,      -8.707774847,      -9.086995052,      -8.748018187,      -8.170982874
          0,           0,          57,      -8.793032826,      -8.755466032,      -9.157752001,       -8.79715869,      -8.220438778
          0,           0,          58,      -8.854074166,       -8.81294998,      -9.211440579,      -8.855548649,      -8.285742563
          0,           0,          59,      -8.911107869,       -8.86729436,      -9.273929398,      -8.908392488,      -8.342277381
          0,           0,          60,      -8.966814657,      -8.918804554,      -9.332752468,      -8.957240618,      -8.394400146
          0,           0,          61,      -9.022282312,      -8.970522827,      -9.383271313,      -9.003232796,      -8.446413118
          0,           0,          62,      -9.087400031,      -9.030832515,      -9.419149757,       -9.05967356,      -8.515066968
          0,           0,          63,      -9.148794289,       -9.08864401,      -9.461742289,      -9.112647308,      -8.575712856
          0,           0,          64,      -9.207708106,      -9.143397676,      -9.505726629,      -9.163918412,      -8.631715354
          0,           0,          65,      -9.263909068,      -9.196302615,      -9.551828573,      -9.213966867,      -8.685420646
          0,           0,          66,      -9.327937131,      -9.255469305,      -9.589866315,      -9.273151333,      -8.753419535
          0,           0,          67,      -9.384443411,      -9.310553425,      -9.645666745,      -9.329029803,      -8.809860917
          0,           0,          68,       -9.43524068,      -9.360852835,      -9.712252745,      -9.382527725,      -8.858490583
