"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.564440584,      -9.281546705,      -10.05994918,      -10.00200659,      -3.957274518,      -11.53403949
          0,           0,           1,      -4.962711411,      -4.901019502,      -5.463976329,      -4.610698486,      -4.342721722,      -11.58810072
          0,           0,           2,      -4.993335431,       -4.89119768,       -5.29820822,      -4.970727635,      -4.377260849,      -11.41054078
          0,           0,           3,      -5.103455767,      -4.979091993,      -5.237917147,      -5.047832972,      -4.501864778,      -11.55554581
          0,           0,           4,      -5.126265386,      -5.023861375,      -5.223203621,      -5.038814524,      -4.535547287,      -11.61018514
          0,           0,           5,      -5.134208247,      -5.047000686,      -5.222917399,      -5.058000415,      -4.550844844,      -11.58528771
          0,           0,           6,      -5.149595743,      -5.064464207,       -5.22183873,      -5.083441995,      -4.567397743,      -11.60337668
          0,           0,           7,      -5.172039604,      -5.077599429,      -5.215778008,      -5.104295657,      -4.586152472,       -11.6120782
          0,           0,           8,      -5.190932927,      -5.086293499,      -5.211523222,      -5.122726226,      -4.601127116,      -11.60863611
          0,           0,           9,      -5.203137578,      -5.095331413,      -5.215043166,      -5.140209908,      -4.610932084,      -11.59627088
          0,           0,          10,      -5.212536112,        -5.1071498,      -5.226100795,      -5.156735482,      -4.618838558,      -11.57358283
          0,           0,          11,      -5.222008161,      -5.120274587,      -5.240272995,      -5.173247261,      -4.626966063,      -11.54042023
          0,           0,          12,      -5.232634441,      -5.134052313,      -5.253698353,      -5.191633415,      -4.636296106,       -11.4990228
          0,           0,          13,      -5.244979247,      -5.150098188,      -5.265803301,       -5.21355466,      -4.647656685,      -11.44953622
          0,           0,          14,      -5.258964387,      -5.169713821,       -5.27825125,      -5.239216273,      -4.660979466,      -11.39297696
          0,           0,          15,       -5.27366059,      -5.192241334,      -5.292722801,      -5.267013417,      -4.674944162,       -11.3311028
          0,           0,          16,      -5.287996824,      -5.215952142,      -5.310005867,      -5.294516413,       -4.68814609,      -11.26606359
          0,           0,          17,      -5.301594897,      -5.239714482,      -5.330201186,      -5.320056998,      -4.700353353,        -11.199904
          0,           0,          18,      -5.314635864,      -5.263762959,      -5.353030521,      -5.343616799,      -4.712240253,      -11.13469452
          0,           0,          19,      -5.327579314,      -5.289097527,      -5.377935422,      -5.366451028,      -4.724666982,      -11.07272721
          0,           0,          20,      -5.340953023,      -5.316490721,      -5.404091737,      -5.389971298,      -4.738194227,      -11.01444148
          0,           0,          21,      -5.354663289,      -5.346044429,      -5.430577733,      -5.414974898,      -4.752443623,       -10.9586881
          0,           0,          22,      -5.368740951,      -5.377324292,      -5.456661258,      -5.441388379,      -4.767089043,      -10.90366793
          0,           0,          23,      -5.383495653,      -5.409739071,      -5.482020838,      -5.468482028,      -4.782192542,      -10.83131501
          0,           0,          24,      -5.398952532,       -5.44281482,      -5.506754008,      -5.495440527,      -4.797697156,       -10.7893423
          0,           0,          25,      -5.415227023,      -5.476160443,       -5.53114346,      -5.521763584,      -4.813788856,      -10.72616391
          0,           0,          26,      -5.432929984,      -5.509530089,      -5.555435907,      -5.547328153,      -4.831198808,      -10.60292969
          0,           0,          27,      -5.452458163,      -5.542239873,      -5.579763177,      -5.572410007,      -4.850421892,      -10.56736765
          0,           0,          28,      -5.473614117,      -5.574806321,      -5.604162454,      -5.597556217,      -4.871349757,      -10.49917164
          0,           0,          29,      -5.496087851,      -5.606778994,      -5.628626509,      -5.623309901,      -4.893749509,      -10.43435502
          0,           0,          30,      -5.520183711,      -5.637836632,       -5.65312708,      -5.649830831,       -4.91793364,      -10.37026369
          0,           0,          31,      -5.545838719,      -5.668372578,      -5.677638925,      -5.677095058,      -4.943794725,      -10.31232701
          0,           0,          32,      -5.572838687,      -5.698050572,      -5.702118643,      -5.704954316,      -4.971068193,      -10.25739332
          0,           0,          33,      -5.600781255,      -5.727365146,      -5.726492909,       -5.73316859,       -4.99932504,      -10.20592325
          0,           0,          34,      -5.629148664,       -5.75643623,      -5.750684455,      -5.761466364,      -5.028036223,      -10.15959776
          0,           0,          35,      -5.657937627,      -5.785128092,      -5.774630332,      -5.789440533,      -5.057169838,      -10.11758313
          0,           0,          36,      -5.686877406,      -5.814446612,          -5.79831,      -5.816898826,      -5.086450346,      -10.07886309
          0,           0,          37,       -5.71564452,      -5.844118164,      -5.821728471,      -5.843844138,      -5.115581071,      -10.04400242
          0,           0,          38,      -5.743854029,      -5.874047156,       -5.84490897,      -5.870474315,      -5.144226388,      -10.01216739
          0,           0,          39,      -5.771214506,      -5.903266251,      -5.867881728,      -5.897055821,      -5.172135616,      -9.983213273
          0,           0,          40,       -5.79740718,      -5.931117263,      -5.890691429,      -5.923825435,      -5.199008857,      -9.956752213
          0,           0,          41,      -5.822107935,      -5.956619169,      -5.913380482,      -5.950933423,      -5.224496417,      -9.932396696
          0,           0,          42,      -5.845122214,      -5.979373843,      -5.935984387,      -5.978423839,      -5.248331054,      -9.909569507
          0,           0,          43,      -5.866394072,      -5.998940543,      -5.958522875,      -6.006243502,      -5.270343858,      -9.888320429
          0,           0,          44,      -5.886015876,      -6.015184613,      -5.981021765,      -6.034282408,      -5.290521126,      -9.868104388
          0,           0,          45,      -5.904237811,       -6.02770298,      -6.003521002,      -6.062359096,      -5.309040742,       -9.84870827
          0,           0,          46,      -5.921461291,      -6.037031592,      -6.026081179,      -6.090274297,      -5.326280916,      -9.829947188
          0,           0,          47,      -5.938154818,      -6.044007843,        -6.0487823,      -6.117853744,      -5.342733991,      -9.811738036
          0,           0,          48,      -5.954832177,      -6.049555805,      -6.071726136,      -6.144974411,      -5.358984755,      -9.794039295
          0,           0,          49,      -5.971919993,      -6.054776116,      -6.095022183,      -6.171549439,      -5.375559108,      -9.776887042
          0,           0,          50,      -5.989782485,      -6.059875815,      -6.118787781,      -6.197556076,      -5.392931301,      -9.760274796
          0,           0,          51,      -6.008607475,      -6.065375675,      -6.143132505,      -6.223052596,      -5.411390886,      -9.744234519
          0,           0,          52,      -6.028427946,      -6.071460268,        -6.1681313,      -6.248177976,      -5.431054358,      -9.728854862
          0,           0,          53,      -6.049103994,      -6.078099206,      -6.193798875,      -6.273075445,      -5.451837972,      -9.714151612
          0,           0,          54,      -6.070284692,      -6.085328539,      -6.220081645,      -6.297893612,      -5.473406782,      -9.700200089
          0,           0,          55,      -6.091518862,      -6.092704941,       -6.24682404,      -6.322759894,      -5.495280774,      -9.686499824
          0,           0,          56,      -6.112252335,      -6.100251205,      -6.273738997,      -6.347705095,      -5.516823055,      -9.674623161
          0,           0,          57,      -6.131947055,      -6.107412817,      -6.300408078,        -6.3725817,      -5.537359347,      -9.663211607
          0,           0,          58,      -6.150165205,      -6.113800592,      -6.326300006,       -6.39706296,       -5.55627479,      -9.652653289
          0,           0,          59,       -6.16670724,      -6.120368791,      -6.350846758,      -6.420686091,      -5.573198777,      -9.642963637
          0,           0,          60,       -6.18164734,      -6.127759178,      -6.373542047,      -6.442909399,       -5.58809663,      -9.634227002
          0,           0,          61,      -6.195297074,        -6.1346713,      -6.394038885,      -6.463168675,      -5.601264141,      -9.626441744
          0,           0,          62,      -6.208107149,      -6.141508981,      -6.412207818,      -6.481060642,      -5.613222288,      -9.619611823
          0,           0,          63,      -6.220605306,      -6.148409459,      -6.428163716,      -6.496404555,       -5.62462182,       -9.61373139
          0,           0,          64,      -6.233359035,      -6.155510868,      -6.442234777,       -6.50933975,      -5.636171994,      -9.608757001
          0,           0,          65,      -6.246805899,      -6.162806408,      -6.454897542,      -6.520342901,      -5.648444999,      -9.604616609
          0,           0,          66,      -6.261215151,      -6.170165207,      -6.466699321,      -6.530109329,      -5.661821806,      -9.601207889
          0,           0,          67,      -6.276721278,      -6.177539943,      -6.478185715,      -6.539397006,      -5.676514645,      -9.598441092
          0,           0,          68,      -6.293351763,      -6.184578314,      -6.489828489,       -6.54893655,      -5.692598482,       -9.59623091
          0,           0,          69,      -6.311022592,      -6.191183086,      -6.501983848,      -6.559362216,       -5.71000338,      -9.594454407
          0,           0,          70,      -6.329568283,      -6.197018426,      -6.514878012,      -6.571045253,      -5.728533528,       -9.59301388
          0,           0,          71,      -6.348757505,      -6.202032416,       -6.52859209,      -6.584143699,      -5.747894206,      -9.591806972
          0,           0,          72,      -6.368396221,      -6.206152053,      -6.543065072,      -6.598616345,      -5.767809418,      -9.590739277
          0,           0,          73,      -6.388285964,       -6.20934925,      -6.558113011,      -6.614161049,      -5.787981863,      -9.589740178
