"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.714995161,      -13.06204406,      -13.11441229,      -1.667287729,      -8.979655466
          0,           0,           1,      -3.950482656,       -3.58143235,      -3.163981548,      -1.894247024,      -9.305263759
          0,           0,           2,      -4.472445542,      -3.863751791,      -3.644527688,      -2.424297935,      -9.840545268
          0,           0,           3,      -4.567901855,      -3.751955519,      -3.601303331,      -2.522465102,      -10.01296102
          0,           0,           4,      -4.605909633,      -3.635015152,      -3.560534234,      -2.565580942,      -10.18395535
          0,           0,           5,      -4.629480998,      -3.564972076,      -3.548185303,      -2.595107151,      -10.27821178
          0,           0,           6,      -4.609926613,      -3.539263328,       -3.56197819,      -2.575737438,      -10.34031658
          0,           0,           7,      -4.558378119,      -3.551353501,      -3.596926033,      -2.519584694,      -10.38213514
          0,           0,           8,      -4.507276942,      -3.593528364,      -3.645880764,      -2.464537821,      -10.42298912
          0,           0,           9,      -4.473004582,      -3.650171124,      -3.691660332,      -2.428460409,       -10.4510193
          0,           0,          10,      -4.456523289,      -3.689202086,      -3.708329325,      -2.411874557,      -10.46690298
          0,           0,          11,      -4.451733544,      -3.681070689,       -3.68776729,      -2.408007775,      -10.47902798
          0,           0,          12,       -4.45004399,      -3.638434515,      -3.650407622,      -2.407577344,      -10.48685956
          0,           0,          13,       -4.44514153,      -3.592676229,       -3.61670652,      -2.403634442,      -10.49082073
          0,           0,          14,      -4.435601849,      -3.559303789,      -3.593565725,      -2.394444883,      -10.49460933
          0,           0,          15,      -4.423294828,      -3.540245681,      -3.579354483,      -2.381951979,      -10.50120632
          0,           0,          16,      -4.409819517,      -3.532356087,      -3.569911151,      -2.367966777,      -10.50342738
          0,           0,          17,       -4.39502675,      -3.531497483,       -3.56206956,      -2.352507703,      -10.49945542
          0,           0,          18,      -4.378068891,       -3.53392307,      -3.554808772,      -2.334840527,      -10.49112629
          0,           0,          19,       -4.35899611,      -3.536334313,       -3.54836785,       -2.31511137,      -10.48014262
          0,           0,          20,      -4.339267797,      -3.535488344,      -3.542534713,      -2.294859491,       -10.4688339
          0,           0,          21,      -4.320967366,      -3.528216056,      -3.535683199,      -2.276213077,      -10.45822379
          0,           0,          22,      -4.305630494,      -3.512484989,      -3.525291912,      -2.260707146,      -10.44850919
          0,           0,          23,      -4.293584081,      -3.488829891,      -3.509676596,      -2.248625078,      -10.43872818
          0,           0,          24,       -4.28391508,      -3.460591415,      -3.489574917,      -2.238971044,      -10.42699418
          0,           0,          25,      -4.274988506,      -3.432581568,      -3.468074917,      -2.230007398,      -10.41182456
          0,           0,          26,      -4.265259292,      -3.409332637,      -3.449107023,      -2.220099319,      -10.39207516
          0,           0,          27,      -4.254072922,      -3.394085621,      -3.435928468,       -2.20855819,      -10.36841178
          0,           0,          28,      -4.242015088,      -3.388521402,      -3.430307881,      -2.196013613,      -10.34338139
          0,           0,          29,      -4.230602119,      -3.392606275,       -3.43225519,      -2.184078933,      -10.31888106
          0,           0,          30,      -4.221569208,      -3.404217898,       -3.43982243,      -2.174590118,      -10.29640305
          0,           0,          31,      -4.216197114,      -3.418562168,      -3.449000316,      -2.168897812,      -10.27602646
          0,           0,          32,      -4.214902767,      -3.428286703,      -3.454335317,      -2.167446989,      -10.25672378
          0,           0,          33,      -4.217108151,      -3.426068194,      -3.451048671,      -2.169646177,      -10.23828938
          0,           0,          34,      -4.221371293,      -3.409454441,      -3.437929772,      -2.174000296,      -10.21948596
          0,           0,          35,      -4.225816133,      -3.382967825,      -3.418256497,      -2.178548022,      -10.20124061
          0,           0,          36,      -4.228846998,      -3.354611729,      -3.397682056,      -2.181598635,       -10.1846938
          0,           0,          37,      -4.229883885,      -3.331420875,      -3.381496691,      -2.182503381,      -10.17061298
          0,           0,          38,       -4.22966608,      -3.317834295,      -3.373315552,      -2.181986857,      -10.15813537
          0,           0,          39,      -4.229891556,      -3.316016091,      -3.374975717,      -2.181783378,      -10.14670743
          0,           0,          40,      -4.232459934,      -3.326441365,      -3.386712385,      -2.183854651,      -10.13561846
          0,           0,          41,      -4.238774345,      -3.348026695,      -3.407089262,      -2.189667482,      -10.12523301
