Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,1.4644,0,79.4039,-0,1.2208e-07,0,0,0,0,0,0,1,5.3522e-08,0,1,31.7616,0.0310578,5.4026e-13,0.00217048,0,0.00217048,0.683207,0,0,0,0,1.32335
1,0.996733,0,79.4935,-0,1.67301e-07,0,0,0,0,0,0,0.995782,-0.000596789,0,0.995782,31.7974,0.102728,0.00282395,0.000398379,0,0.00285192,1.0049,0,0,0,0,0.902617
2,0.996303,0,79.4991,-0,1.67366e-07,0,0,0,0,0,0,0.990924,-0.00128029,0,0.990925,31.7997,0.107245,0.00256065,0.000359026,0,0.0025857,1.00541,0,0,0,0,0.848093
3,0.997506,0,79.5043,-0,1.67218e-07,0,0,0,0,0,0,0.985337,-0.00206129,0,0.985339,31.8017,0.111364,0.0027662,0.000385132,0,0.00279288,1.00426,0,0,0,0,0.873021
4,0.997665,0,79.5064,-0,1.672e-07,0,0,0,0,0,0,0.978921,-0.00295145,0,0.978926,31.8026,0.113052,0.00287513,0.000397104,0,0.00290242,1.00413,0,0,0,0,0.881625
5,0.997619,0,79.505,-0,1.67204e-07,0,0,0,0,0,0,0.971568,-0.00396307,0,0.971576,31.802,0.111961,0.00277547,0.000379857,0,0.00280134,1.00415,0,0,0,0,0.858905
6,0.997599,0,79.5047,-0,1.67206e-07,0,0,0,0,0,0,0.963157,-0.00510898,0,0.96317,31.8019,0.111703,0.00268544,0.000363745,0,0.00270996,1.00417,0,0,0,0,0.838679
7,0.997605,0,79.5057,-0,1.67207e-07,0,0,0,0,0,0,0.95356,-0.00640218,0,0.953582,31.8023,0.112533,0.00266863,0.000357251,0,0.00269244,1.00418,0,0,0,0,0.83075
8,0.997625,0,79.5073,-0,1.67207e-07,0,0,0,0,0,0,0.942641,-0.00785548,0,0.942673,31.8029,0.113758,0.00267099,0.00035286,0,0.00269419,1.00418,0,0,0,0,0.826552
9,0.997648,0,79.5091,-0,1.67207e-07,0,0,0,0,0,0,0.930255,-0.00948102,0,0.930303,31.8036,0.115181,0.0026692,0.000347407,0,0.00269171,1.00418,0,0,0,0,0.82234
10,0.997677,0,79.5114,-0,1.67207e-07,0,0,0,0,0,0,0.916256,-0.0112896,0,0.916325,31.8046,0.117061,0.00265848,0.000340278,0,0.00268017,1.00418,0,0,0,0,0.817296
11,0.997715,0,79.5147,-0,1.67207e-07,0,0,0,0,0,0,0.900496,-0.01329,0,0.900594,31.8059,0.119723,0.00264943,0.000332847,0,0.00267026,1.00418,0,0,0,0,0.812983
12,0.997769,0,79.5194,-0,1.67208e-07,0,0,0,0,0,0,0.882836,-0.0154881,0,0.882972,31.8077,0.12342,0.00263756,0.000324536,0,0.00265745,1.00418,0,0,0,0,0.80865
13,0.997839,0,79.5255,-0,1.67209e-07,0,0,0,0,0,0,0.863146,-0.0178858,0,0.863331,31.8102,0.128302,0.00262767,0.000315931,0,0.00264659,1.00419,0,0,0,0,0.804974
14,0.997929,0,79.5331,-0,1.6721e-07,0,0,0,0,0,0,0.841316,-0.0204802,0,0.841565,31.8132,0.134433,0.00261872,0.000306882,0,0.00263664,1.0042,0,0,0,0,0.801753
15,0.998038,0,79.5424,-0,1.67211e-07,0,0,0,0,0,0,0.817266,-0.0232624,0,0.817597,31.8169,0.141838,0.00260862,0.00029712,0,0.00262549,1.0042,0,0,0,0,0.798626
16,0.998168,0,79.5532,-0,1.67211e-07,0,0,0,0,0,0,0.790952,-0.0262166,0,0.791386,31.8213,0.150522,0.00259811,0.000286701,0,0.00261388,1.00421,0,0,0,0,0.795669
17,0.998317,0,79.5657,-0,1.67212e-07,0,0,0,0,0,0,0.762378,-0.0293192,0,0.762941,31.8263,0.160501,0.00258684,0.000275534,0,0.00260147,1.00422,0,0,0,0,0.7928
18,0.998487,0,79.5798,-0,1.67213e-07,0,0,0,0,0,0,0.731603,-0.0325381,0,0.732326,31.8319,0.171815,0.00257532,0.000263597,0,0.00258877,1.00423,0,0,0,0,0.790073
19,0.998675,0,79.5956,-0,1.67215e-07,0,0,0,0,0,0,0.69875,-0.0358319,0,0.699668,31.8383,0.184444,0.00256386,0.000250796,0,0.0025761,1.00424,0,0,0,0,0.787513
20,0.998885,0,79.6132,-0,1.67216e-07,0,0,0,0,0,0,0.664007,-0.0391503,0,0.66516,31.8453,0.198474,0.00255225,0.000236945,0,0.00256322,1.00425,0,0,0,0,0.785071
