"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.237492279,      -13.04720207,      -13.09511059,      -1.189784848,      -8.978321079
          0,           0,           1,      -3.406857907,      -3.303926078,      -2.622961823,      -1.356948283,      -9.296430926
          0,           0,           2,      -3.994057773,      -3.661467716,      -3.172627076,      -1.947008967,      -9.788918757
          0,           0,           3,      -4.060566219,      -3.498780312,      -3.160488079,      -2.013409359,      -9.959939063
          0,           0,           4,      -4.061152675,      -3.339603743,      -3.110877381,      -2.014560351,      -10.09569066
          0,           0,           5,      -4.071908104,      -3.230296061,      -3.081174356,      -2.026029356,      -10.17374806
          0,           0,           6,      -4.090948518,      -3.161413614,      -3.074780215,      -2.045259183,      -10.21245308
          0,           0,           7,      -4.101412522,      -3.123026845,       -3.08641175,      -2.055145615,      -10.22157038
          0,           0,           8,      -4.091105469,      -3.108033785,      -3.110407091,      -2.043971959,      -10.20830398
          0,           0,           9,      -4.061498315,      -3.110752514,      -3.141301343,      -2.013863732,      -10.17255172
          0,           0,          10,      -4.023119908,      -3.125517413,      -3.173073666,      -1.975444901,       -10.1264673
          0,           0,          11,      -3.986845597,      -3.145668238,      -3.199666314,      -1.939329132,      -10.08005048
          0,           0,          12,      -3.958647593,      -3.163625657,      -3.216308394,      -1.911285777,      -10.03724449
          0,           0,          13,      -3.940477725,       -3.17251981,       -3.22053119,      -1.893191074,      -10.00043431
          0,           0,          14,       -3.93240614,      -3.168622569,      -3.212288524,      -1.885117936,       -9.96964262
          0,           0,          15,      -3.933496743,      -3.152672344,      -3.193514157,      -1.886153806,      -9.942735821
          0,           0,          16,      -3.942055041,      -3.128824474,      -3.167660135,       -1.89463332,      -9.918349004
          0,           0,          17,      -3.955314662,      -3.102124161,      -3.139030447,      -1.907823159,      -9.895330151
          0,           0,          18,      -3.969243899,      -3.076893215,      -3.111992902,      -1.921732293,      -9.871950293
          0,           0,          19,      -3.978871831,      -3.056135872,      -3.089922725,      -1.931426823,      -9.848086787
          0,           0,          20,      -3.979976277,       -3.04153888,      -3.075040549,      -1.932692135,      -9.824540773
