Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.998833,0,79.6527,0,1.67E-07,0,0,0,0,0,0,1,5.35E-08,0,1,31.8611,0.230108,3.43E-17,1.38E-07,0,1.38E-07,1.0048,0,0,0,0,0.0063575
1,0.998979,0,79.6336,0,1.67E-07,0,0,0,0,0,0,0.995782,-0.000596789,0,0.995782,31.8534,0.214799,0.00173144,0.000244257,0,0.00174858,1.00441,0,0,0,0,0.707836
2,0.998784,0,79.621,0,1.67E-07,0,0,0,0,0,0,0.990924,-0.00128029,0,0.990925,31.8484,0.204762,0.00163797,0.000229657,0,0.00165399,1.00445,0,0,0,0,0.679647
3,0.998688,0,79.6011,0,1.67E-07,0,0,0,0,0,0,0.985337,-0.00206129,0,0.985339,31.8404,0.188806,0.00148038,0.000206111,0,0.00149466,1.00429,0,0,0,0,0.639023
4,0.998516,0,79.58,0,1.67E-07,0,0,0,0,0,0,0.978921,-0.00295145,0,0.978926,31.832,0.171926,0.00143573,0.000198298,0,0.00144936,1.0042,0,0,0,0,0.623235
5,0.998301,0,79.5584,0,1.67E-07,0,0,0,0,0,0,0.971568,-0.00396307,0,0.971576,31.8234,0.154673,0.00148322,0.000202996,0,0.00149704,1.00414,0,0,0,0,0.628104
6,0.998068,0,79.537,0,1.67E-07,0,0,0,0,0,0,0.963157,-0.00510898,0,0.96317,31.8148,0.137546,0.00157236,0.000212978,0,0.00158672,1.00411,0,0,0,0,0.64193
7,0.997817,0,79.5151,0,1.67E-07,0,0,0,0,0,0,0.95356,-0.00640218,0,0.953582,31.806,0.120006,0.00167423,0.00022413,0,0.00168917,1.00408,0,0,0,0,0.658131
8,0.997555,0,79.4924,0,1.67E-07,0,0,0,0,0,0,0.942641,-0.00785548,0,0.942673,31.797,0.101858,0.0017779,0.000234876,0,0.00179335,1.00406,0,0,0,0,0.674392
9,0.997284,0,79.4691,0,1.67E-07,0,0,0,0,0,0,0.930255,-0.00948102,0,0.930303,31.7876,0.083207,0.00187544,0.000244095,0,0.00189125,1.00404,0,0,0,0,0.689252
