Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,1.02136,0,79.5507,-0,1.64244e-07,0,0,0,0,0,0,1,5.3522e-08,0,1,31.8203,0.1485,-1.84323e-14,-7.40516e-05,0,7.40516e-05,0.981374,0,0,0,0,0.151733
1,0.998755,0,79.6011,-0,1.67213e-07,0,0,0,0,0,0,0.995782,-0.000596789,0,0.995782,31.8404,0.188784,0.0015975,0.000225362,0,0.00161332,1.00422,0,0,0,0,0.679927
2,0.998613,0,79.6036,-0,1.67236e-07,0,0,0,0,0,0,0.990924,-0.00128029,0,0.990925,31.8414,0.19082,0.00223253,0.00031302,0,0.00225437,1.0044,0,0,0,0,0.793429
3,0.99855,0,79.5926,-0,1.67226e-07,0,0,0,0,0,0,0.985337,-0.00206129,0,0.985339,31.837,0.182018,0.00228755,0.000318492,0,0.00230962,1.00432,0,0,0,0,0.794281
4,0.998464,0,79.5797,-0,1.67216e-07,0,0,0,0,0,0,0.978921,-0.00295145,0,0.978926,31.8319,0.171723,0.00221947,0.000306547,0,0.00224054,1.00425,0,0,0,0,0.774842
5,0.998358,0,79.5675,-0,1.6721e-07,0,0,0,0,0,0,0.971568,-0.00396307,0,0.971576,31.827,0.161934,0.00219932,0.000301003,0,0.00221982,1.0042,0,0,0,0,0.764832
6,0.998243,0,79.5565,-0,1.67207e-07,0,0,0,0,0,0,0.963157,-0.00510898,0,0.96317,31.8226,0.153173,0.00222237,0.000301022,0,0.00224267,1.00418,0,0,0,0,0.763193
7,0.998124,0,79.5465,-0,1.67206e-07,0,0,0,0,0,0,0.95356,-0.00640218,0,0.953582,31.8186,0.145107,0.00226304,0.000302953,0,0.00228322,1.00417,0,0,0,0,0.765222
8,0.998004,0,79.5368,-0,1.67206e-07,0,0,0,0,0,0,0.942641,-0.00785548,0,0.942673,31.8147,0.137349,0.00230386,0.000304359,0,0.00232388,1.00417,0,0,0,0,0.7678
9,0.997884,0,79.5273,-0,1.67206e-07,0,0,0,0,0,0,0.930255,-0.00948102,0,0.930303,31.8109,0.12977,0.00234523,0.000305241,0,0.00236501,1.00417,0,0,0,0,0.770916
10,0.99777,0,79.5182,-0,1.67206e-07,0,0,0,0,0,0,0.916256,-0.0112896,0,0.916325,31.8073,0.122506,0.00238024,0.000304664,0,0.00239966,1.00417,0,0,0,0,0.773384
11,0.997665,0,79.5099,-0,1.67206e-07,0,0,0,0,0,0,0.900496,-0.01329,0,0.900594,31.804,0.115874,0.00241488,0.00030338,0,0.00243386,1.00417,0,0,0,0,0.776149
12,0.997575,0,79.5028,-0,1.67206e-07,0,0,0,0,0,0,0.882836,-0.0154881,0,0.882972,31.8011,0.110152,0.00244397,0.000300715,0,0.0024624,1.00417,0,0,0,0,0.778341
13,0.997502,0,79.497,-0,1.67206e-07,0,0,0,0,0,0,0.863146,-0.0178858,0,0.863331,31.7988,0.105528,0.0024721,0.000297227,0,0.0024899,1.00417,0,0,0,0,0.780662
14,0.997446,0,79.4927,-0,1.67206e-07,0,0,0,0,0,0,0.841316,-0.0204802,0,0.841565,31.7971,0.102066,0.00250028,0.000293003,0,0.00251739,1.00417,0,0,0,0,0.783239
15,0.997408,0,79.4898,-0,1.67207e-07,0,0,0,0,0,0,0.817266,-0.0232624,0,0.817597,31.7959,0.099769,0.00252634,0.000287748,0,0.00254267,1.00417,0,0,0,0,0.785698
16,0.997388,0,79.4883,-0,1.67207e-07,0,0,0,0,0,0,0.790952,-0.0262166,0,0.791386,31.7953,0.0986117,0.00255164,0.000281573,0,0.00256713,1.00418,0,0,0,0,0.788234
17,0.997385,0,79.4883,-0,1.67207e-07,0,0,0,0,0,0,0.762378,-0.0293192,0,0.762941,31.7953,0.0985714,0.00257589,0.000274368,0,0.00259046,1.00418,0,0,0,0,0.790775
18,0.997399,0,79.4896,-0,1.67208e-07,0,0,0,0,0,0,0.731603,-0.0325381,0,0.732326,31.7959,0.0996463,0.00259969,0.000266091,0,0.00261328,1.00418,0,0,0,0,0.793398
19,0.997429,0,79.4924,-0,1.67208e-07,0,0,0,0,0,0,0.69875,-0.0358319,0,0.699668,31.7969,0.101833,0.00262394,0.000256672,0,0.00263646,1.00419,0,0,0,0,0.79622
20,0.997477,0,79.4966,-0,1.67209e-07,0,0,0,0,0,0,0.664007,-0.0391503,0,0.66516,31.7986,0.105185,0.00264907,0.000245934,0,0.00266046,1.00419,0,0,0,0,0.799295
21,0.997544,0,79.5023,-0,1.67209e-07,0,0,0,0,0,0,0.627628,-0.0424346,0,0.629061,31.8009,0.109765,0.00267489,0.000233578,0,0.00268507,1.0042,0,0,0,0,0.80258
22,0.997632,0,79.5098,-0,1.6721e-07,0,0,0,0,0,0,0.589933,-0.0456186,0,0.591694,31.8039,0.115757,0.0027013,0.000219266,0,0.00271019,1.0042,0,0,0,0,0.806052
23,0.997746,0,79.5194,-0,1.67211e-07,0,0,0,0,0,0,0.551292,-0.0486309,0,0.553432,31.8078,0.123446,0.00272727,0.000202552,0,0.00273478,1.00421,0,0,0,0,0.809554
24,0.997887,0,79.5311,-0,1.67212e-07,0,0,0,0,0,0,0.512117,-0.0513979,0,0.514689,31.8125,0.132847,0.0027518,0.000182998,0,0.00275788,1.00421,0,0,0,0,0.812944
25,0.998062,0,79.5455,-0,1.67213e-07,0,0,0,0,0,0,0.472843,-0.0538478,0,0.4759,31.8182,0.144321,0.00277408,0.000160215,0,0.0027787,1.00422,0,0,0,0,0.816111
26,0.998275,0,79.563,-0,1.67213e-07,0,0,0,0,0,0,0.433912,-0.0559146,0,0.4375,31.8252,0.158372,0.00279234,0.000133833,0,0.00279555,1.00423,0,0,0,0,0.818815
27,0.998529,0,79.5838,-0,1.67214e-07,0,0,0,0,0,0,0.395749,-0.0575429,0,0.39991,31.8335,0.17501,0.00280487,0.000103623,0,0.00280678,1.00423,0,0,0,0,0.820827
28,0.998836,0,79.6091,-0,1.67216e-07,0,0,0,0,0,0,0.358747,-0.0586915,0,0.363516,31.8437,0.195244,0.00281035,6.95341e-05,0,0.00281121,1.00424,0,0,0,0,0.821986
29,0.999194,0,79.6387,-0,1.67217e-07,0,0,0,0,0,0,0.323253,-0.0593366,0,0.328654,31.8555,0.218875,0.00280756,3.16966e-05,0,0.00280774,1.00426,0,0,0,0,0.822142
30,0.999596,0,79.6716,-0,1.67219e-07,0,0,0,0,0,0,0.289554,-0.0594727,0,0.295599,31.8686,0.245199,0.00279385,-9.57827e-06,0,0.00279387,1.00427,0,0,0,0,0.820933
31,1.00007,0,79.711,-0,1.67221e-07,0,0,0,0,0,0,0.257873,-0.0591124,0,0.264562,31.8844,0.276716,0.00276363,-5.36546e-05,0,0.00276415,1.00429,0,0,0,0,0.81756
32,1.00061,0,79.7557,-0,1.67224e-07,0,0,0,0,0,0,0.228367,-0.0582847,0,0.235687,31.9023,0.312528,0.0027178,-9.96589e-05,0,0.00271962,1.00431,0,0,0,0,0.812145
33,1.00122,0,79.806,-0,1.67228e-07,0,0,0,0,0,0,0.201125,-0.0570315,0,0.209054,31.9224,0.352775,0.00265311,-0.000146452,0,0.00265715,1.00434,0,0,0,0,0.804161
34,1.00188,0,79.8617,-0,1.67232e-07,0,0,0,0,0,0,0.17618,-0.055404,0,0.184686,31.9447,0.397305,0.00256412,-0.000192403,0,0.00257133,1.00437,0,0,0,0,0.792683
35,1.00259,0,79.9223,-0,1.67238e-07,0,0,0,0,0,0,0.153511,-0.0534588,0,0.162553,31.9689,0.445758,0.00244814,-0.000235602,0,0.00245945,1.00442,0,0,0,0,0.777087
36,1.00336,0,79.9876,-0,1.67245e-07,0,0,0,0,0,0,0.133057,-0.051254,0,0.142588,31.9951,0.498046,0.00230579,-0.000274163,0,0.00232203,1.00447,0,0,0,0,0.757139
37,1.00417,0,80.0569,-0,1.67253e-07,0,0,0,0,0,0,0.114722,-0.0488466,0,0.124688,32.0228,0.553483,0.00214005,-0.000306414,0,0.00216188,1.00453,0,0,0,0,0.732879
38,1.00501,0,80.1296,-0,1.67261e-07,0,0,0,0,0,0,0.0983855,-0.0462897,0,0.108731,32.0518,0.61158,0.00195762,-0.00033139,0,0.00198547,1.00459,0,0,0,0,0.704906
39,1.0059,0,80.2045,-0,1.67268e-07,0,0,0,0,0,0,0.0839123,-0.0436311,0,0.0945777,32.0818,0.671506,0.00177242,-0.00035003,0,0.00180665,1.00465,0,0,0,0,0.675251
40,1.00683,0,80.2807,-0,1.67271e-07,0,0,0,0,0,0,0.0711583,-0.0409126,0,0.0820814,32.1123,0.732477,0.00160485,-0.000366156,0,0.00164609,1.00467,0,0,0,0,0.647696
41,1.00785,0,80.3635,-0,1.67274e-07,0,0,0,0,0,0,0.0599767,-0.03817,0,0.0710925,32.1454,0.79875,0.00144972,-0.000379464,0,0.00149856,1.0047,0,0,0,0,0.62147
42,1.00878,0,80.439,-0,1.67276e-07,0,0,0,0,0,0,0.0502224,-0.0354327,0,0.0614635,32.1756,0.859132,0.00129507,-0.000387031,0,0.00135167,1.00471,0,0,0,0,0.594012
43,1.00962,0,80.5071,-0,1.67278e-07,0,0,0,0,0,0,0.0417559,-0.0327247,0,0.0530515,32.2028,0.913625,0.00114914,-0.000390919,0,0.00121381,1.00473,0,0,0,0,0.567015
44,1.01033,0,80.5658,-0,1.67281e-07,0,0,0,0,0,0,0.0344451,-0.0300655,0,0.0457209,32.2263,0.960557,0.00093153,-0.0003602,0,0.000998745,1.00475,0,0,0,0,0.518608
45,1.01091,0,80.6078,-0,1.67275e-07,0,0,0,0,0,0,0.0281672,-0.0274703,0,0.0393448,32.2431,0.994214,0.00141978,-0.00062398,0,0.00155084,1.0047,0,0,0,0,0.652391
46,1.0111,0,80.6269,-0,1.67281e-07,0,0,0,0,0,0,0.0228094,-0.0249517,0,0.0338062,32.2508,1.00947,-0.00100444,0.000502345,0,0.00112305,1.00475,0,0,0,0,0.561078
47,1.0107,0,80.6143,-0,1.67312e-07,0,0,0,0,0,0,0.0182689,-0.0225199,0,0.0289982,32.2457,0.999418,-0.00148978,0.000849896,0,0.00171516,1.00499,0,0,0,0,0.701561
48,1.00968,0,80.5575,-0,1.67352e-07,0,0,0,0,0,0,0.0144522,-0.020184,0,0.0248246,32.223,0.953917,-0.00217085,0.00141768,0,0.00259276,1.0053,0,0,0,0,0.873986
49,1.00798,0,80.4446,-0,1.67388e-07,0,0,0,0,0,0,0.0112752,-0.0179526,0,0.0211997,32.1778,0.863591,-0.00308982,0.00232072,0,0.00386428,1.00558,0,0,0,0,1.08295
50,1.00535,0,80.2613,-0,1.67431e-07,0,0,0,0,0,0,0.00866098,-0.0158343,0,0.0180482,32.1045,0.716939,-0.00412967,0.00358784,0,0.00547054,1.00591,0,0,0,0,1.31008
51,1.00196,0,79.9966,-0,1.67441e-07,0,0,0,0,0,0,0.00653926,-0.0138381,0,0.0153054,31.9986,0.505192,-0.00520716,0.00526866,0,0.00740765,1.00599,0,0,0,0,1.55366
