"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.272975033,      -13.05157089,      -13.07731658,      -1.225267601,      -8.978537629
          0,           0,           1,       -3.44387242,      -3.329729266,        -2.6601232,      -1.393965799,      -9.297804887
          0,           0,           2,      -4.029974104,      -3.684023929,      -3.208511148,      -1.982955459,      -9.797347304
          0,           0,           3,       -4.09669926,      -3.524853647,      -3.194975992,      -2.049588677,      -9.967743196
          0,           0,           4,      -4.097881106,      -3.368268083,       -3.14554658,      -2.051402835,      -10.10845936
          0,           0,           5,      -4.108956274,      -3.260941115,      -3.116362025,      -2.063261577,      -10.18830481
          0,           0,           6,      -4.127470677,      -3.193802445,      -3.110503667,      -2.081987878,      -10.22967172
          0,           0,           7,      -4.136671937,      -3.157048677,      -3.122692264,      -2.090564867,      -10.24198464
          0,           0,           8,      -4.125271886,      -3.143498205,      -3.147252204,      -2.078225585,      -10.23285798
          0,           0,           9,      -4.095355591,      -3.147295451,      -3.178540491,      -2.047764333,      -10.20078716
          0,           0,          10,      -4.057460397,      -3.162542863,      -3.210212272,      -2.009821076,      -10.15730346
          0,           0,          11,      -4.021773186,      -3.182421669,      -3.236001055,       -1.97430728,      -10.11272412
          0,           0,          12,      -3.994094378,      -3.199447213,      -3.251309857,      -1.946798691,      -10.07136492
          0,           0,          13,      -3.976102305,      -3.207213165,      -3.254210861,      -1.928892128,      -10.03564165
          0,           0,          14,      -3.968065112,      -3.202605673,      -3.245120388,      -1.920856285,      -10.00612991
          0,           0,          15,      -3.969044979,      -3.186548165,      -3.226082091,      -1.921778833,      -9.980397993
          0,           0,          16,      -3.977359535,       -3.16307917,      -3.200364111,       -1.93001119,      -9.957186092
          0,           0,          17,      -3.990240727,      -3.136947528,       -3.17209565,       -1.94282257,      -9.935122315
          0,           0,          18,      -4.003588927,      -3.112288945,       -3.14550047,      -1.956154109,      -9.912580266
          0,           0,          19,      -4.012483942,      -3.092061766,      -3.123873653,      -1.965123045,      -9.889337191
          0,           0,          20,      -4.012878752,      -3.077820855,      -3.109473302,      -1.965687031,      -9.865773024
          0,           0,          21,       -4.00386885,      -3.070254189,      -3.103385797,       -1.95693783,      -9.841700228
          0,           0,          22,      -3.988042333,      -3.068785853,       -3.10554803,      -1.941409779,      -9.818167741
          0,           0,          23,      -3.969643704,      -3.071886943,      -3.114495492,      -1.923280949,      -9.797067594
          0,           0,          24,      -3.952660797,      -3.077093488,      -3.127291134,      -1.906492085,      -9.776334691
          0,           0,          25,      -3.939763817,      -3.081262231,       -3.13945028,      -1.893686342,      -9.757434141
          0,           0,          26,      -3.932190921,       -3.08131401,       -3.14561277,      -1.886087071,      -9.740644395
          0,           0,          27,      -3.930282421,      -3.075407197,      -3.141964751,      -1.884041732,      -9.725378729
          0,           0,          28,      -3.933529892,       -3.06368257,      -3.128643925,      -1.887055166,       -9.71178036
          0,           0,          29,      -3.940757641,       -3.04823771,      -3.109604094,      -1.893988143,      -9.699884513
          0,           0,          30,       -3.95020532,      -3.032167486,      -3.090178574,      -1.903140162,      -9.688811431
          0,           0,          31,      -3.959611304,      -3.018342468,      -3.074903147,       -1.91231955,      -9.678646993
          0,           0,          32,      -3.966624908,      -3.008871086,      -3.066631017,      -1.919232415,      -9.668911253
          0,           0,          33,      -3.969521654,      -3.004921908,      -3.066515786,      -1.922168603,      -9.659050641
          0,           0,          34,       -3.96793428,      -3.006715981,       -3.07421164,      -1.920718365,      -9.649582436
          0,           0,          35,        -3.9631223,      -3.013571549,      -3.087849516,      -1.916070329,      -9.640303088
          0,           0,          36,      -3.957469794,      -3.023947105,      -3.103963456,      -1.910535211,      -9.631069493
          0,           0,          37,       -3.95358246,      -3.035596342,      -3.117828093,      -1.906662573,      -9.622585689
          0,           0,          38,      -3.953547036,      -3.045931868,      -3.124846129,      -1.906503775,      -9.614329165
          0,           0,          39,      -3.958482268,      -3.052831858,      -3.122835078,      -1.911157783,      -9.606647742
          0,           0,          40,      -3.968344468,      -3.055459931,      -3.113364041,      -1.920574092,      -9.599265361
          0,           0,          41,      -3.981855559,      -3.054622751,      -3.100790386,      -1.933492973,      -9.591874812
          0,           0,          42,      -3.996625436,      -3.052378518,      -3.089942202,      -1.947594794,       -9.58420865
          0,           0,          43,      -4.009717378,      -3.051141175,      -3.084486774,      -1.960081571,      -9.576832898
          0,           0,          44,      -4.018746912,      -3.053005371,       -3.08646425,      -1.968743401,      -9.569707468
          0,           0,          45,      -4.023067537,      -3.059273913,      -3.096399546,      -1.973047749,      -9.562759344
          0,           0,          46,      -4.024205537,      -3.070309033,      -3.113361914,      -1.974494654,      -9.556466664
          0,           0,          47,      -4.025038388,      -3.085506335,      -3.134872423,      -1.975816403,      -9.550909014
          0,           0,          48,      -4.028512224,      -3.103255716,      -3.156965906,      -1.979768026,      -9.546302293
          0,           0,          49,      -4.036655916,      -3.121037855,      -3.174851205,      -1.988199425,      -9.543789775
          0,           0,          50,      -4.050082833,      -3.135693164,      -3.184680633,      -2.001573186,      -9.542765275
          0,           0,          51,       -4.06791671,      -3.144435027,       -3.18552764,      -2.018923027,      -9.543572922
          0,           0,          52,      -4.087910611,      -3.146109756,      -3.179885476,       -2.03802398,      -9.546207348
          0,           0,          53,      -4.107063093,      -3.141800423,      -3.172101871,      -2.056062247,      -9.550056038
          0,           0,          54,       -4.12276739,      -3.134364858,      -3.166369466,       -2.07077336,      -9.554337139
          0,           0,          55,      -4.134130071,      -3.127304981,      -3.165644241,      -2.081610757,       -9.55889925
          0,           0,          56,      -4.142341584,      -3.123790873,      -3.171484066,       -2.08991462,      -9.563525228
          0,           0,          57,      -4.149947296,      -3.126175583,      -3.184251805,      -2.098118865,      -9.566667994
          0,           0,          58,      -4.159470359,      -3.135872244,      -3.203250768,      -2.108468266,       -9.56865514
          0,           0,          59,      -4.172236247,      -3.153461595,       -3.22664689,      -2.121961935,       -9.56843307
          0,           0,          60,      -4.188165807,      -3.178480198,      -3.251496522,      -2.138214221,      -9.566743636
          0,           0,          61,      -4.205854038,      -3.209190814,      -3.274009092,      -2.155602378,      -9.563945369
          0,           0,          62,      -4.223312273,      -3.242196545,      -3.290576545,      -2.172093243,      -9.560022546
          0,           0,          63,      -4.239106586,      -3.272456297,      -3.299376314,      -2.186445803,      -9.555377016
          0,           0,          64,      -4.253027372,      -3.294673427,      -3.301363947,      -2.198836458,      -9.549125072
          0,           0,          65,      -4.266529648,      -3.305843062,       -3.29984893,      -2.211115145,      -9.542043975
          0,           0,          66,      -4.281701546,      -3.307442976,      -3.298856712,      -2.225646813,      -9.533337568
          0,           0,          67,      -4.300086416,      -3.304404794,      -3.301846272,      -2.244109464,      -9.524632403
          0,           0,          68,      -4.321786407,      -3.302393208,      -3.311125017,      -2.266655548,      -9.515587953
          0,           0,          69,      -4.344841835,      -3.305775131,      -3.327832319,      -2.291303089,      -9.506816577
          0,           0,          70,       -4.36563377,      -3.317098685,      -3.352021463,      -2.314257226,      -9.498692848
          0,           0,          71,      -4.380355364,      -3.337289401,      -3.382545554,      -2.331274344,      -9.491494108
          0,           0,          72,      -4.387086184,      -3.365778761,      -3.416944262,      -2.339850203,      -9.485713748
          0,           0,          73,       -4.38770579,      -3.400351646,      -3.451436239,      -2.341466838,      -9.481168187
          0,           0,          74,      -4.386816565,      -3.436752665,      -3.481537659,      -2.340727153,       -9.47861158
          0,           0,          75,      -4.389269166,      -3.469053868,      -3.503616926,      -2.342731188,      -9.477796552
          0,           0,          76,      -4.399057291,      -3.491094298,      -3.516866887,      -2.351740569,      -9.478747619
          0,           0,          77,      -4.418333791,      -3.499967674,       -3.52362779,      -2.370108481,      -9.481575991
          0,           0,          78,      -4.447909712,      -3.497912072,      -3.528051072,      -2.398792123,      -9.485764357
          0,           0,          79,      -4.486767313,      -3.490582037,       -3.53406749,      -2.436908201,      -9.491250484
          0,           0,          80,      -4.532181119,      -3.483690273,      -3.544461082,      -2.481893894,      -9.497218397
          0,           0,          81,      -4.578518766,      -3.481281417,      -3.560532318,       -2.52827821,      -9.504080489
          0,           0,          82,      -4.617828275,      -3.485585744,      -3.582266994,      -2.568134212,      -9.511081395
          0,           0,          83,      -4.643570399,      -3.497273421,      -3.608562025,      -2.594581127,       -9.51830514
          0,           0,          84,       -4.65426821,      -3.515968484,      -3.637177592,      -2.605571498,      -9.525482595
          0,           0,          85,      -4.655278003,      -3.540331618,       -3.66504176,      -2.606121562,      -9.532373744
          0,           0,          86,       -4.65455066,      -3.568227735,      -3.688918579,      -2.604254195,      -9.539025339
