"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.133687906,      -15.22755504,       -15.2704353,      -2.085980475,      -9.547789299
          0,           0,           1,      -4.385979452,      -4.017958681,      -3.561103547,      -2.329930047,      -9.827296858
          0,           0,           2,       -4.87404996,      -4.444367046,       -4.14278777,      -2.824014498,      -10.35498027
          0,           0,           3,      -5.023260623,      -4.530571846,      -4.216746199,      -2.975114069,      -10.48511263
          0,           0,           4,      -5.070874446,      -4.574193458,      -4.260145347,      -3.022695182,      -10.59146442
          0,           0,           5,      -5.100016794,      -4.601704387,      -4.277520056,      -3.051838486,      -10.70384766
          0,           0,           6,      -5.123036531,      -4.604250465,      -4.279481439,      -3.074798448,      -10.76692671
          0,           0,           7,      -5.145122454,      -4.571281469,       -4.27084184,       -3.09696197,       -10.8184787
          0,           0,           8,      -5.169342865,      -4.508285833,      -4.257719743,      -3.121671719,      -10.86153219
          0,           0,           9,      -5.195827802,      -4.435331425,       -4.24599618,      -3.149303453,      -10.91265868
          0,           0,          10,      -5.220989796,      -4.368468918,      -4.239420517,      -3.176342167,      -10.94939978
          0,           0,          11,      -5.238046281,       -4.31437444,      -4.238904384,      -3.195639957,      -10.97988103
          0,           0,          12,      -5.240655163,      -4.273899306,       -4.24310649,      -3.200046678,      -11.00560895
          0,           0,          13,      -5.228215007,      -4.245292995,      -4.249511926,      -3.188353756,      -11.02654547
          0,           0,          14,      -5.205847561,      -4.225805046,      -4.255313695,      -3.165793388,      -11.04334855
          0,           0,          15,      -5.180306284,      -4.212457611,      -4.258130218,      -3.139623318,      -11.05879414
          0,           0,          16,      -5.156290121,      -4.202525997,      -4.256416601,      -3.114946752,      -11.07489539
          0,           0,          17,      -5.136288219,      -4.193933716,      -4.249876132,      -3.094436882,      -11.08521772
          0,           0,          18,      -5.120899977,      -4.185570665,      -4.239484455,      -3.078723941,      -11.09434579
          0,           0,          19,      -5.109018011,      -4.177365896,      -4.227107207,      -3.066642488,      -11.10122324
          0,           0,          20,      -5.098833172,      -4.170083782,      -4.215012014,      -3.056289338,      -11.10514948
          0,           0,          21,      -5.088231958,       -4.16491841,      -4.205165573,      -3.045453624,      -11.10585939
          0,           0,          22,      -5.075595677,      -4.163088513,      -4.198848293,        -3.0324522,      -11.10388127
          0,           0,          23,      -5.060356902,      -4.165562255,      -4.196527839,       -3.01671041,      -11.09999164
          0,           0,          24,      -5.042923988,      -4.172908579,      -4.197938754,      -2.998671601,      -11.09454036
          0,           0,          25,      -5.024120032,      -4.185174963,      -4.202218588,      -2.979196182,      -11.08685465
