Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.926942,0,73.7569,-0,1.67001e-07,0,0,0,0,0,0,0,0,0,0,29.5028,-4.48654,0,0.0214006,0,0.0214006,1.00258,0,0,0,0,13.7592
1,0.994852,0,79.3032,-0,1.67235e-07,0,0,0,0,0,0,1,-5.4e-08,0,1,31.7213,-0.0494835,1.66538e-11,0.000337321,0,0.000337321,1.00439,0,0,0,0,1.32887
2,0.925879,0,73.6718,-0,1.67e-07,0,0,0,0,0,0,3.637e-10,4.5e-06,0,4.5e-06,29.4687,-4.55466,5.05913e-06,0.0211937,0,0.0211937,1.00258,0,0,0,0,13.6428
3,0.925794,0,73.6636,-0,1.66998e-07,0,0,0,0,0,0,2.26239e-09,9.47759e-06,0,9.47759e-06,29.4654,-4.56119,1.16229e-05,0.0209002,0,0.0209003,1.00256,0,0,0,0,13.3937
4,0.926737,0,73.7378,-0,1.66996e-07,0,0,0,0,0,0,6.19369e-09,1.49835e-05,0,1.49835e-05,29.4951,-4.50181,1.87791e-05,0.0206989,0,0.0206989,1.00255,0,0,0,0,13.0592
5,0.929386,0,73.9499,-0,1.66999e-07,0,0,0,0,0,0,1.27829e-08,2.10737e-05,0,2.10737e-05,29.58,-4.33212,2.67362e-05,0.0206344,0,0.0206344,1.00256,0,0,0,0,12.6507
6,0.933524,0,74.2836,-0,1.67006e-07,0,0,0,0,0,0,2.28134e-08,2.78102e-05,0,2.78102e-05,29.7134,-4.06516,3.57914e-05,0.020743,0,0.0207431,1.00262,0,0,0,0,12.1803
7,0.93757,0,74.6127,-0,1.67019e-07,0,0,0,0,0,0,3.72638e-08,3.52616e-05,0,3.52617e-05,29.8451,-3.80193,4.63537e-05,0.0210611,0,0.0210612,1.00272,0,0,0,0,11.6585
8,0.940086,0,74.8207,-0,1.67032e-07,0,0,0,0,0,0,5.73538e-08,4.35039e-05,0,4.35039e-05,29.9283,-3.63553,5.88905e-05,0.021596,0,0.021596,1.00282,0,0,0,0,11.0989
9,0.941361,0,74.9299,-0,1.67045e-07,0,0,0,0,0,0,8.46008e-08,5.26208e-05,0,5.26209e-05,29.972,-3.54813,7.37706e-05,0.0222948,0,0.0222949,1.00293,0,0,0,0,10.5175
10,0.941893,0,74.9797,-0,1.67058e-07,0,0,0,0,0,0,1.20889e-07,6.27052e-05,0,6.27053e-05,29.9919,-3.50832,9.1262e-05,0.0230883,0,0.0230885,1.00303,0,0,0,0,9.93343
11,0.941909,0,74.9883,-0,1.67071e-07,0,0,0,0,0,0,1.68553e-07,7.38597e-05,0,7.38599e-05,29.9953,-3.50142,0.000111461,0.0238925,0,0.0238927,1.00312,0,0,0,0,9.36171
12,0.941552,0,74.9674,-0,1.67084e-07,0,0,0,0,0,0,2.30484e-07,8.61978e-05,0,8.61981e-05,29.9869,-3.51817,0.000134318,0.0246306,0,0.0246309,1.00323,0,0,0,0,8.81388
13,0.940987,0,74.9305,-0,1.67098e-07,0,0,0,0,0,0,3.10259e-07,9.98451e-05,0,9.98456e-05,29.9722,-3.5477,0.000159732,0.0252524,0,0.0252529,1.00333,0,0,0,0,8.29791
14,0.940184,0,74.8757,-0,1.67114e-07,0,0,0,0,0,0,4.12294e-07,0.00011494,0,0.000114941,29.9503,-3.59149,0.000187784,0.0257578,0,0.0257585,1.00346,0,0,0,0,7.81983
15,0.939335,0,74.8172,-0,1.6713e-07,0,0,0,0,0,0,5.42038e-07,0.000131637,0,0.000131639,29.9269,-3.63829,0.000218755,0.0261727,0,0.0261736,1.00358,0,0,0,0,7.38323
16,0.938637,0,74.7693,-0,1.67143e-07,0,0,0,0,0,0,7.06211e-07,0.000150106,0,0.000150108,29.9077,-3.67665,0.000252902,0.0265105,0,0.0265117,1.00368,0,0,0,0,6.98602
17,0.938123,0,74.7339,-0,1.67153e-07,0,0,0,0,0,0,9.13094e-07,0.000170534,0,0.000170536,29.8936,-3.70492,0.00029037,0.0267692,0,0.0267708,1.00376,0,0,0,0,6.62277
