Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.821219,0,65.1088,-0,1.66533e-07,0,0,0,0,0,0,0,0,0,0,26.0435,-11.405,0,0.0341745,0,0.0341745,0.998968,0,0,0,0,16.4117
1,0.989177,0,78.8687,-0,1.67264e-07,0,0,0,0,0,0,1,-5.4e-08,0,1,31.5475,-0.397127,3.6475e-11,0.000738798,0,0.000738798,1.00462,0,0,0,0,1.96068
2,0.819928,0,65.004,-0,1.66528e-07,0,0,0,0,0,0,3.637e-10,4.5e-06,0,4.5e-06,26.0016,-11.4888,8.08202e-06,0.0338571,0,0.0338571,0.99893,0,0,0,0,16.2729
3,0.820544,0,65.0497,-0,1.66522e-07,0,0,0,0,0,0,2.26239e-09,9.47759e-06,0,9.47759e-06,26.0199,-11.4523,1.85862e-05,0.0334215,0,0.0334216,0.998881,0,0,0,0,15.9909
4,0.822962,0,65.2388,-0,1.66517e-07,0,0,0,0,0,0,6.19369e-09,1.49835e-05,0,1.49835e-05,26.0955,-11.301,3.00636e-05,0.033137,0,0.033137,0.998843,0,0,0,0,15.6157
5,0.827846,0,65.628,-0,1.66521e-07,0,0,0,0,0,0,1.27829e-08,2.10737e-05,0,2.10737e-05,26.2512,-10.9897,4.2855e-05,0.0330745,0,0.0330746,0.998872,0,0,0,0,15.1596
6,0.834575,0,66.1693,-0,1.66536e-07,0,0,0,0,0,0,2.28134e-08,2.78102e-05,0,2.78102e-05,26.4677,-10.5566,5.74434e-05,0.0332915,0,0.0332916,0.998991,0,0,0,0,14.6313
7,0.841207,0,66.7071,-0,1.66559e-07,0,0,0,0,0,0,3.72638e-08,3.52616e-05,0,3.52617e-05,26.6828,-10.1264,7.45369e-05,0.0338663,0,0.0338664,0.999171,0,0,0,0,14.0421
8,0.845783,0,67.0814,-0,1.66581e-07,0,0,0,0,0,0,5.73538e-08,4.35039e-05,0,4.35039e-05,26.8325,-9.82697,9.49029e-05,0.0348022,0,0.0348023,0.999341,0,0,0,0,13.4004
9,0.848581,0,67.3132,-0,1.666e-07,0,0,0,0,0,0,8.46008e-08,5.26208e-05,0,5.26209e-05,26.9253,-9.64153,0.000119213,0.0360283,0,0.0360285,0.999487,0,0,0,0,12.728
10,0.850253,0,67.4531,-0,1.66614e-07,0,0,0,0,0,0,1.20889e-07,6.27052e-05,0,6.27053e-05,26.9812,-9.52961,0.000148053,0.0374557,0,0.037456,0.999595,0,0,0,0,12.0529
11,0.851085,0,67.5226,-0,1.66621e-07,0,0,0,0,0,0,1.68553e-07,7.38597e-05,0,7.38599e-05,27.009,-9.47397,0.000181715,0.0389518,0,0.0389523,0.999647,0,0,0,0,11.3931
12,0.850692,0,67.4894,-0,1.66617e-07,0,0,0,0,0,0,2.30484e-07,8.61978e-05,0,8.61981e-05,26.9958,-9.50053,0.000220349,0.0404065,0,0.0404071,0.999618,0,0,0,0,10.7606
13,0.850188,0,67.4467,-0,1.66612e-07,0,0,0,0,0,0,3.10259e-07,9.98451e-05,0,9.98456e-05,26.9787,-9.53469,0.00026407,0.0417474,0,0.0417483,0.999577,0,0,0,0,10.171
14,0.849426,0,67.3886,-0,1.66616e-07,0,0,0,0,0,0,4.12294e-07,0.00011494,0,0.000114941,26.9554,-9.58119,0.000313109,0.0429482,0,0.0429493,0.999612,0,0,0,0,9.62646
15,0.8484,0,67.3141,-0,1.6663e-07,0,0,0,0,0,0,5.42038e-07,0.000131637,0,0.000131639,26.9256,-9.64078,0.000368231,0.0440566,0,0.0440581,0.999715,0,0,0,0,9.13102
