"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.648022602,      -15.22822658,      -15.23764876,      -1.600315171,      -9.545486618
          0,           0,           1,      -3.821195937,      -3.727733218,      -3.022701302,      -1.771386273,      -9.815666833
          0,           0,           2,       -4.41037019,      -4.229634976,      -3.624405521,      -2.363082629,      -10.31772192
          0,           0,           3,      -4.540427071,      -4.331115036,      -3.722552475,      -2.493270155,      -10.44626484
          0,           0,           4,      -4.588180495,      -4.379576312,      -3.766763989,      -2.540726896,      -10.54153204
          0,           0,           5,      -4.616690251,      -4.404084122,      -3.791768347,      -2.569216841,      -10.63874435
          0,           0,           6,      -4.636602749,      -4.400873806,      -3.803726454,      -2.589138005,      -10.69239351
          0,           0,           7,      -4.650774401,      -4.358643299,      -3.803814163,       -2.60336281,      -10.73275511
          0,           0,           8,      -4.661102485,      -4.282152731,      -3.794534544,      -2.613823624,      -10.76425847
          0,           0,           9,       -4.66857449,      -4.191995797,      -3.780003829,      -2.621521623,       -10.7932374
          0,           0,          10,      -4.672982811,      -4.105394913,      -3.764221247,      -2.626225804,      -10.81722891
          0,           0,          11,       -4.67367674,      -4.029628059,      -3.749563002,      -2.627229891,      -10.83148339
          0,           0,          12,      -4.670772267,      -3.965713009,      -3.736674297,      -2.624583043,      -10.84089933
          0,           0,          13,      -4.665658886,      -3.912152571,      -3.725254783,      -2.619647261,      -10.84684596
          0,           0,          14,      -4.660282804,       -3.86695022,      -3.714827805,      -2.614410159,      -10.85084902
          0,           0,          15,      -4.656182876,      -3.828490797,      -3.705179184,      -2.610505385,      -10.85409804
          0,           0,          16,      -4.653935298,      -3.795775762,      -3.696460976,      -2.608613425,      -10.85814354
          0,           0,          17,      -4.653019291,       -3.76832133,      -3.689109002,      -2.608282971,      -10.85948261
          0,           0,          18,      -4.652050009,      -3.745935774,      -3.683693858,      -2.608126871,      -10.85805577
          0,           0,          19,      -4.649236907,      -3.728523681,      -3.680762829,      -2.606259862,      -10.85295495
          0,           0,          20,      -4.642988289,      -3.715977489,      -3.680687581,       -2.60092132,      -10.84357309
          0,           0,          21,      -4.632421346,      -3.708165794,      -3.683599723,      -2.591049729,      -10.83013145
          0,           0,          22,      -4.617561379,       -3.70499777,      -3.689411866,      -2.576557516,      -10.81341696
          0,           0,          23,       -4.59913006,      -3.706505662,      -3.697925997,      -2.558148774,      -10.79460881
          0,           0,          24,      -4.578158694,      -3.712895568,      -3.708975455,      -2.536905693,      -10.77469292
          0,           0,          25,      -4.555753255,      -3.724531229,      -3.722516916,      -2.514008633,      -10.75433362
          0,           0,          26,      -4.533009625,       -3.74181801,       -3.73860262,      -2.490620795,      -10.73474224
          0,           0,          27,      -4.511018732,      -3.764976626,      -3.757175799,      -2.467884593,       -10.7167918
          0,           0,          28,      -4.490849666,      -3.793668642,      -3.777698441,      -2.446907882,      -10.70125085
          0,           0,          29,      -4.473484046,      -3.826425563,      -3.798657772,      -2.428704355,      -10.68872539
          0,           0,          30,       -4.45973825,      -3.859897832,      -3.817144673,      -2.414121569,      -10.67960456
          0,           0,          31,      -4.450215534,       -3.88833603,      -3.828972143,      -2.403797918,       -10.6740717
          0,           0,          32,      -4.445311466,      -3.904522613,      -3.829978044,      -2.398172121,      -10.67211107
          0,           0,          33,      -4.445259058,      -3.903235652,      -3.818331934,      -2.397530938,      -10.67355859
          0,           0,          34,      -4.450197837,      -3.885006895,      -3.795968131,      -2.402078871,      -10.67827472
          0,           0,          35,      -4.460232686,      -3.855670895,      -3.767563595,       -2.41199492,      -10.68599059
          0,           0,          36,      -4.475455535,      -3.822364918,      -3.738220697,      -2.427449382,      -10.69658549
          0,           0,          37,      -4.495926306,      -3.790551733,      -3.711892015,      -2.448578068,      -10.70985676
          0,           0,          38,      -4.521556273,      -3.763506508,      -3.691021013,      -2.475354207,      -10.72548064
          0,           0,          39,      -4.551897502,      -3.742875095,      -3.676802691,      -2.507354715,      -10.74281663
          0,           0,          40,      -4.585821253,      -3.729321768,      -3.669534437,      -2.543388477,      -10.76089691
          0,           0,          41,      -4.621138733,      -3.722939632,      -3.668863141,      -2.581026264,      -10.77829034
