Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.652785,0,2.3357,-0,1.61481e-07,0,0,0,0,0,0,0.029228,0.021348,0,0.0361941,0.934279,-0.819552,0.000171782,5.83644e-05,0,0.000181426,1.06485,0,0,0,0,104.136
1,0.972712,0,3.54901,-0,1.63903e-07,0,0,0,0,0,0,0.029228,-0.021722,0,0.0364159,1.4196,0.151101,0.000115421,-4.05351e-05,0,0.000122332,1.08584,0,0,0,0,102.648
2,0.91383,0,3.38965,-0,1.65969e-07,0,0,0,0,0,0,1,0,0,1,1.35586,0.0236105,-3.62445e-06,-2.25615e-05,0,2.28508e-05,1.10391,0,0,0,0,42.1948
3,0.996706,3.20652e-08,3.84556,0,1.53688e-07,0.731351,0.998619,0.0357923,0,0.99926,4.61542e-07,-0.5,4,0,4.03113,1.33786,-0.0123895,0,0,0,0,0.998681,1.00192,0.0359106,0,1.00256,0
4,1.00541,3.29122e-08,3.88671,0,1.54104e-07,0.727049,1.00325,0.0331192,0,1.0038,4.61622e-07,-0.5,-4,0,4.03113,1.35424,0.0203776,0,0,0,0,1.00216,0.997856,0.032941,0,0.9984,0
5,0.992025,3.12912e-08,3.83072,0,1.53464e-07,0.738972,1.00356,0.0291195,0,1.00399,4.60244e-07,1,4,0,4.12311,1.32907,-0.0299653,0,0,0,0,0.996802,1.01163,0.0293536,0,1.01206,0
6,1.00541,3.30601e-08,3.8877,0,1.54104e-07,0.727759,1.00424,0.0330667,0,1.00478,4.62169e-07,1,-4,0,4.12311,1.35425,0.0203872,0,0,0,0,1.00216,0.998834,0.0328887,0,0.999375,0
7,1.00004,3.34687e-08,3.86047,0,1.53848e-07,0.729088,0.999352,0.0403687,0,1.00017,4.65591e-07,10,4,0,10.7703,1.34413,0.000145775,0,0,0,0,1.00002,0.999314,0.0403672,0,1.00013,0
8,1.0006,3.2948e-08,3.86383,0,1.53875e-07,0.729331,1.00047,0.0376441,0,1.00117,4.63466e-07,10,-4,0,10.7703,1.34518,0.00225652,0,0,0,0,1.00024,0.999867,0.0376215,0,1.00057,0
9,0.994406,3.1323e-08,3.83983,0,1.5358e-07,0.736199,1.00185,0.0502282,0,1.00311,4.59533e-07,10,0,0,10,1.33356,-0.020995,0,0,0,0,0.997772,1.00748,0.0505108,0,1.00875,0
10,1.00532,3.28977e-08,3.88598,0,1.541e-07,0.72688,1.0029,0.0333087,0,1.00346,4.61601e-07,-0.695448,-3.97069,0,4.03113,1.35407,0.0200306,0,0,0,0,1.00212,0.9976,0.0331325,0,0.99815,0
11,1.0052,3.28829e-08,3.88514,0,1.54094e-07,0.726723,1.00254,0.0335354,0,1.0031,4.61587e-07,-0.889225,-3.93183,0,4.03113,1.35385,0.019598,0,0,0,0,1.00208,0.997353,0.0333618,0,0.997911,0
12,1.00507,3.28667e-08,3.88421,0,1.54088e-07,0.726577,1.00217,0.0337965,0,1.00274,4.61575e-07,-1.08086,-3.88352,0,4.03113,1.3536,0.0190906,0,0,0,0,1.00202,0.997118,0.0336261,0,0.997685,0
13,1.00492,3.28502e-08,3.88322,0,1.54081e-07,0.726447,1.0018,0.0340863,0,1.00238,4.61567e-07,-1.2699,-3.82588,0,4.03113,1.35332,0.0185277,0,0,0,0,1.00196,0.996899,0.0339195,0,0.997476,0
14,1.00476,3.28333e-08,3.8822,0,1.54073e-07,0.726333,1.00144,0.0343977,0,1.00203,4.6156e-07,-1.45589,-3.75904,0,4.03113,1.35302,0.0179252,0,0,0,0,1.0019,0.996701,0.0342348,0,0.997288,0
15,1.00459,3.28162e-08,3.88117,0,1.54065e-07,0.726238,1.0011,0.0347238,0,1.0017,4.61556e-07,-1.63838,-3.68316,0,4.03113,1.3527,0.017297,0,0,0,0,1.00183,0.996525,0.0345651,0,0.997124,0
16,1.00442,3.2799e-08,3.88014,0,1.54057e-07,0.72616,1.00078,0.0350584,0,1.00139,4.61552e-07,-1.81693,-3.59844,0,4.03113,1.35238,0.0166559,0,0,0,0,1.00177,0.996372,0.034904,0,0.996984,0
17,1.00425,3.2782e-08,3.87914,0,1.54049e-07,0.726099,1.00048,0.0353958,0,1.0011,4.6155e-07,-1.99112,-3.50506,0,4.03113,1.35206,0.0160134,0,0,0,0,1.0017,0.996243,0.035246,0,0.996867,0
18,1.00408,3.27654e-08,3.87817,0,1.54041e-07,0.726054,1.0002,0.0357315,0,1.00084,4.61548e-07,-2.16052,-3.40326,0,4.03113,1.35174,0.015379,0,0,0,0,1.00163,0.996136,0.0355862,0,0.996772,0
19,1.00392,3.27493e-08,3.87724,0,1.54033e-07,0.726024,0.999953,0.0360618,0,1.0006,4.61546e-07,-2.32472,-3.29328,0,4.03113,1.35143,0.0147607,0,0,0,0,1.00157,0.996049,0.035921,0,0.996697,0
20,1.00376,3.27338e-08,3.87636,0,1.54026e-07,0.726005,0.999726,0.0363837,0,1.00039,4.61544e-07,-2.48334,-3.17538,0,4.03113,1.35114,0.0141646,0,0,0,0,1.0015,0.99598,0.0362473,0,0.99664,0
