"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.854287956,      -16.57921359,      -16.68466258,      -3.137934724,      -10.40917102
          0,           0,           1,      -4.142187079,      -4.364889476,      -3.918738488,      -3.407677361,      -10.16575464
          0,           0,           2,      -4.324610446,      -4.535080195,      -4.322983593,      -3.595733379,      -9.893585194
          0,           0,           3,       -4.51391172,      -4.715312706,      -4.567739773,      -3.801719291,      -9.601216837
          0,           0,           4,      -4.700070983,      -4.776597167,      -4.655591846,      -4.027372413,      -9.314166024
          0,           0,           5,      -4.740509688,      -4.802485672,        -4.7230243,      -4.084589602,      -9.035168855
          0,           0,           6,      -4.748446401,      -4.801581103,      -4.749434738,      -4.096216878,      -8.783008601
          0,           0,           7,      -4.751910399,      -4.775691416,      -4.760505012,      -4.102007159,      -8.596881788
          0,           0,           8,      -4.756481094,      -4.748766702,       -4.76295863,      -4.108954557,      -8.518288246
          0,           0,           9,      -4.765752645,      -4.746520281,       -4.76417897,      -4.121786156,      -8.490210033
          0,           0,          10,      -4.774572571,      -4.766797395,      -4.768785761,      -4.133068786,       -8.49150806
          0,           0,          11,      -4.785085386,       -4.79267001,      -4.785337022,      -4.145669457,      -8.482725349
          0,           0,          12,      -4.794977697,      -4.810441469,      -4.812512788,      -4.156720031,      -8.464293587
          0,           0,          13,      -4.806113822,      -4.821914189,      -4.841014037,      -4.168394505,      -8.459335979
          0,           0,          14,      -4.817970003,       -4.82833212,      -4.861357758,      -4.180083285,      -8.437621475
          0,           0,          15,      -4.828413081,      -4.834843267,      -4.878226822,      -4.189484947,      -8.407543915
          0,           0,          16,      -4.835853158,      -4.844285577,      -4.889110154,      -4.195336074,      -8.396233745
          0,           0,          17,      -4.838661633,      -4.852064831,      -4.895361555,       -4.19581666,      -8.367866695
          0,           0,          18,       -4.83910565,      -4.858856974,       -4.89717269,      -4.194913608,      -8.326804817
          0,           0,          19,      -4.841012631,      -4.867206124,      -4.895333819,      -4.197714341,       -8.30768434
          0,           0,          20,      -4.841607776,      -4.865251611,      -4.887928758,      -4.199722016,      -8.285461565
          0,           0,          21,       -4.84106516,      -4.866810083,      -4.879711812,      -4.200951767,      -8.258889258
          0,           0,          22,      -4.837319304,      -4.864128286,      -4.874400599,      -4.199792663,      -8.247994916
          0,           0,          23,      -4.845525218,      -4.859148863,      -4.871434279,      -4.209732327,      -8.213681463
          0,           0,          24,      -4.823542676,      -4.841810299,      -4.870201294,      -4.185482483,      -8.191138119
          0,           0,          25,      -4.840728243,      -4.834157459,      -4.878039356,      -4.201726539,      -8.175364455
          0,           0,          26,      -4.852646683,      -4.826310113,      -4.889356164,      -4.211206833,      -8.147564521
          0,           0,          27,      -4.829350975,      -4.830298049,      -4.896356914,       -4.18389172,      -8.123033719
