"Time_Iter",    "Cur_Time"    ,     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,    "Avg_Press"   ,       "CD"       ,       "CL"       ,     "probe1"     
          0,                 0,      -7.582429474,      -8.453347722,      -8.753169495,                 0,       21.47814333,     0.07309403245,      0.1199999402
          1,              0.01,      -7.795108621,      -8.670971034,      -8.964047251,                 0,      -1.848278992,    -0.08706027762,      0.1199794337
          2,              0.02,      -7.781223134,       -8.62075055,      -9.044627167,                 0,      0.9012629867,     0.04835745606,      0.1198727217
          3,              0.03,      -7.832150423,      -8.635103694,       -9.07796947,                 0,       1.083024564,   -0.009654383791,       0.119737216
          4,              0.04,      -8.523832599,      -9.363945074,      -9.719357084,                 0,       1.226549303,   -0.004390326985,      0.1196695805
          5,              0.05,      -8.065935507,      -8.878787594,      -9.344851171,                 0,        1.40886094,    0.003335890642,      0.1196723028
          6,              0.06,      -8.232469791,      -9.048763048,      -9.473613633,                 0,       1.530711908,    0.003191233746,      0.1196899124
          7,              0.07,      -8.576090084,      -9.342659867,      -9.609082637,                 0,        1.52432708,     -0.0027216053,       0.119693669
          8,              0.08,      -8.597286409,      -9.390563071,      -9.719675647,                 0,       1.460999642,   -0.004363441944,      0.1196909666
          9,              0.09,      -8.738227631,      -9.528894656,      -9.866893076,                 0,       1.423001993,   -0.004680553247,      0.1196985159
         10,               0.1,      -9.038021588,      -9.809659754,      -10.10468351,                 0,       1.435215106,   -0.003594465808,       0.119720805
         11,              0.11,      -8.999569055,      -9.798352812,      -10.16105771,                 0,       1.471720812,   -0.002673953608,      0.1197479483
         12,              0.12,      -8.830548583,      -9.627364354,      -9.986408756,                 0,       1.502329092,   -0.002392699423,      0.1197651959
         13,              0.13,       -8.69256656,      -9.476243499,      -9.805516335,                 0,       1.509827393,   -0.002267719834,      0.1197636176
         14,              0.14,      -8.653439827,      -9.433222898,      -9.738467283,                 0,       1.501296391,   -0.002437922937,      0.1197445027
         15,              0.15,      -8.724987444,      -9.511079673,      -9.802411712,                 0,       1.489954145,   -0.002678864262,      0.1197152516
         16,              0.16,      -8.918646493,       -9.73145708,      -10.00062937,                 0,       1.481251976,   -0.002891545913,      0.1196834637
         17,              0.17,      -9.254768865,      -10.09940229,      -10.35062935,                 0,       1.473329773,   -0.002936039983,      0.1196538005
         18,              0.18,      -9.266318824,      -10.09616586,      -10.44010232,                 0,       1.464095111,    -0.00292632429,      0.1196282788
         19,              0.19,      -9.017689651,       -9.84259889,      -10.16569135,                 0,       1.451595131,   -0.002927106429,      0.1196078361
         20,               0.2,      -8.901002406,      -9.711953155,       -10.0197524,                 0,       1.434324169,    -0.00293418019,      0.1195929365
         21,              0.21,      -8.873992492,      -9.679755974,       -9.98680032,                 0,       1.416495308,   -0.002952871913,      0.1195837317
         22,              0.22,      -8.923325006,      -9.728812988,      -10.02697172,                 0,       1.400582893,   -0.002938832707,      0.1195798022
         23,              0.23,      -9.059910379,      -9.878215382,      -10.18220253,                 0,       1.387275553,   -0.002858623141,      0.1195799494
