"Time_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
          0,           9,       -7.96780747,      -4.946298904,      -5.445453862,      -2.497193894,      -4.397815842,      0.9329898399,       1.293576366,       2.445047348,                 0,                 0,                 0,      0.6066801501,        0.52219057,       2.716415535,                 0,       1.890145346,     0.01258571638,      -2.015732358,      -1.569045118,      -1.719393408,       -2.02177188,      -3.504981887,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          1,           9,      -8.288708681,      -5.231502481,      -5.725530426,       -2.80041528,      -4.862185108,      0.9329898399,      0.6449823462,       1.598773653,                 0,                 0,                 0,      0.1682780518,      0.1493635068,       1.717489436,                 0,       2.478786687,      0.0232210711,      -2.407390434,       -1.75206662,      -2.462265786,      -2.378253748,      -2.591912919,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          2,           9,      -8.418800653,      -5.361524864,      -5.821151239,      -2.926136041,      -5.138320788,      0.9329898399,      0.3913628216,       1.200936188,                 0,                 0,                 0,   0.0008332385072,     0.02314236707,       1.262884403,                 0,       3.068600597,     0.02917835166,       -2.66761253,      -2.044628316,       -2.66588384,      -2.627308277,      -2.868966085,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          3,           9,      -8.558112058,      -5.510620161,      -5.923212712,      -3.048738453,      -5.115826215,      0.9329898399,      0.3371467686,       1.183295238,                 0,                 0,                 0,      0.0138403565,     -0.0235469875,       1.230163039,                 0,        3.50973329,     0.03313536723,      -2.902325992,      -2.288071075,      -2.841342387,      -2.857878193,      -2.853946839,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          4,           9,      -8.667434825,      -5.616888557,      -5.991533756,      -3.147151078,      -5.286812262,      0.9329898399,      0.3688499285,       1.316944438,                 0,                 0,                 0,     0.06519089981,    -0.03230434957,       1.367241512,                 0,       3.570407194,     0.03409251289,      -3.041852891,      -2.446154198,      -2.930125889,      -2.991623611,      -3.027484812,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          5,           9,      -8.744289883,      -5.695945964,      -6.022249443,      -3.217686123,      -5.259649557,      0.9329898399,      0.4064878654,       1.444474252,                 0,                 0,                 0,     0.09515228867,    -0.03359712061,       1.500203147,                 0,       3.553548273,      0.5460360412,      -3.148408233,      -2.539150457,      -2.953326528,       -3.09144443,      -3.004838526,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          6,           9,      -8.751143257,      -5.737275245,      -6.017429513,      -3.227570695,       -5.23431601,      0.9329898399,      0.4254456694,       1.515385513,                 0,                 0,                 0,      0.1073190187,    -0.03620012877,       1.573558649,                 0,       3.561877867,      0.8969837632,      -3.190650066,      -2.583523177,      -2.956879448,       -3.13617148,      -2.983427031,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          7,           9,       -8.78800289,      -5.776513213,      -6.040866204,      -3.269946779,      -5.188979445,      0.9329898399,      0.4342883262,       1.544233311,                 0,                 0,                 0,      0.1179117429,    -0.03617813377,       1.603731278,                 0,       3.555779001,      0.9369396816,       -3.24786565,      -2.625772422,      -2.997237899,      -3.197769656,      -2.946212601,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          8,           9,      -8.791628476,      -5.785628507,       -6.05497079,      -3.283055086,      -5.172261838,      0.9329898399,      0.4466128296,       1.556784032,                 0,                 0,                 0,      0.1342340521,    -0.02806162828,       1.619336928,                 0,       3.485757526,       0.965895853,        -3.2669097,       -2.63941554,      -3.038393252,      -3.224614426,      -2.942603387,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          9,           9,      -8.776544663,      -5.784336283,      -6.044060014,      -3.277209275,      -5.170638692,      0.9329898399,      0.4669191299,       1.563591301,                 0,                 0,                 0,      0.1557239268,    -0.01063286967,        1.63178374,                 0,       3.348741144,      0.9798525177,      -3.263783782,      -2.652142933,      -3.052313238,      -3.230742295,      -2.955172556,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         10,           9,      -8.776428381,       -5.79045147,        -6.0316802,      -3.284129195,      -5.121676747,      0.9329898399,      0.4923469397,        1.56106538,                 0,                 0,                 0,      0.1791645277,     0.01442237361,       1.636802561,                 0,       3.170661285,      0.9888094143,      -3.273594113,      -2.683468524,      -3.056276419,      -3.249248736,      -2.920049227,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         11,           9,      -8.773857081,      -5.803141713,       -6.01873651,      -3.285095479,      -5.233710172,      0.9329898399,      0.5182690751,       1.541853025,                 0,                 0,                 0,      0.2013989546,     0.04482898414,       1.626008593,                 0,       2.975004874,       0.993766606,      -3.279098254,      -2.720639679,      -3.053234828,      -3.259130484,      -3.044000434,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         12,           9,      -8.768657515,      -5.810161744,      -6.000666672,      -3.276856326,      -5.201652477,      0.9329898399,      0.5403579205,       1.500595004,                 0,                 0,                 0,      0.2191147504,     0.07801532998,       1.593011505,                 0,       2.777038971,      0.9937241455,      -3.280407085,      -2.746535522,      -3.042928761,      -3.257214242,      -3.028186656,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         13,           9,      -8.757806307,      -5.789077431,      -5.979381689,      -3.262796527,      -5.087206775,      0.9329898399,      0.5542485887,       1.433448379,                 0,                 0,                 0,       0.227892114,      0.1109308153,       1.532860107,                 0,       2.586291436,      0.9896821357,      -3.277972653,      -2.743587167,      -3.033307286,      -3.251667199,      -2.933238894,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         14,           9,      -8.747382686,      -5.774457734,      -5.969697857,      -3.256305664,      -5.094918548,      0.9329898399,       0.556095796,       1.339590322,                 0,                 0,                 0,      0.2239312096,      0.1401387484,       1.443643272,                 0,       2.408920067,       0.980640622,      -3.276873391,      -2.747984215,      -3.038815574,      -3.254452412,      -2.963600096,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         15,           9,      -8.743522887,      -5.781243232,      -5.985342822,      -3.255356934,       -5.06091114,      0.9329898399,      0.5438024014,       1.223350786,                 0,                 0,                 0,      0.2060824673,       0.162367668,        1.32888861,                 0,       2.249623729,      0.7816046079,      -3.278743353,      -2.772514718,      -3.067829345,      -3.258673282,      -2.956055828,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         16,           9,      -8.760524297,      -5.814511431,      -5.984660322,      -3.270499623,      -5.115899099,      0.9329898399,      0.5185713288,       1.094492745,                 0,                 0,                 0,      0.1764419948,      0.1759135183,       1.198284201,                 0,       2.110592477,      0.6825664875,      -3.297684125,       -2.82093377,      -3.076916187,      -3.275588894,      -3.044630884,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         17,           9,      -8.770789874,      -5.835370135,      -5.992792107,      -3.281095929,      -5.143181273,      0.9329898399,      0.4847770651,      0.9658580468,                 0,                 0,                 0,      0.1400151704,      0.1812050493,       1.065389741,                 0,       1.992375705,      0.6325276591,      -3.309157955,      -2.854271046,      -3.094160577,      -3.287725666,      -3.111096763,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         18,           9,       -8.80975893,      -5.870150585,      -6.013789246,      -3.320594456,      -5.126544476,      0.9329898399,      0.4495638983,      0.8522650336,                 0,                 0,                 0,      0.1042503112,      0.1807419133,      0.9464648683,                 0,       1.895759506,       0.608488824,      -3.351029338,       -2.90018878,      -3.126546272,      -3.330091757,        -3.1354581,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
