"Time_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
          0,          19,      -8.956699665,      -6.249565248,      -6.395075818,      -3.452052209,      -5.319628705,      0.9329898399,       1.210288913,       2.436534106,                 0,                 0,                 0,      0.5951998362,      0.4450314128,       2.683923387,                 0,       2.013183861,       0.012904405,      -3.004624553,      -2.872248849,      -2.739082404,      -2.976630194,      -4.426918092,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          1,          16,      -8.971811099,      -6.254738897,      -6.418069995,      -3.469937904,      -5.903353594,      0.9329898399,      0.5744077917,       1.590663068,                 0,                 0,                 0,      0.1633089505,      0.0842440302,       1.689099242,                 0,       2.769222652,     0.02422104049,      -3.093494563,      -2.779770183,      -3.157842043,      -3.050321758,      -3.629345277,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          2,          12,      -8.911722023,      -6.051648388,      -6.299318723,      -3.391769691,      -5.713645387,      0.9329898399,      0.3518074582,       1.199369666,                 0,                 0,                 0,    0.006494716307,    -0.01422660842,       1.249821462,                 0,        3.40916498,     0.03017825197,      -3.165661599,      -2.739240558,      -3.145391356,      -3.098038266,      -3.438809158,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          3,          11,      -8.860775204,      -6.015716182,       -6.25942125,      -3.341565533,      -5.573245939,      0.9329898399,      0.3190878421,       1.182572495,                 0,                 0,                 0,     0.02319700556,    -0.04060551525,       1.224191957,                 0,       3.706103269,      0.2001309964,      -3.211845013,      -2.799930683,      -3.180582033,      -3.157750012,      -3.308268776,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          4,          11,      -8.960267276,      -6.128607951,      -6.358520926,      -3.441316249,      -5.688709979,      0.9329898399,       0.361682026,       1.312493894,                 0,                 0,                 0,     0.07426446318,    -0.03785783565,       1.360889744,                 0,       3.628861264,      0.6134297426,      -3.344075042,      -2.967574511,      -3.301646697,      -3.295335016,      -3.426369591,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          5,          11,      -9.017466859,      -6.189900575,      -6.426146726,      -3.503541108,      -5.627405724,      0.9329898399,      0.4036934673,       1.432415398,                 0,                 0,                 0,      0.1035671521,    -0.03274374908,       1.487854205,                 0,       3.548274902,      0.8863793613,      -3.435246123,      -3.043518016,      -3.366192812,      -3.391063638,      -3.368658717,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          6,          10,      -8.876767255,       -6.07222894,      -6.314461043,      -3.360636024,      -5.502185572,      0.9329898399,      0.4245588563,        1.49449121,                 0,                 0,                 0,      0.1154048469,    -0.03093928919,       1.553318048,                 0,       3.520103721,      0.9123354755,      -3.329701709,      -2.927789867,      -3.264219728,       -3.28259359,       -3.24835509,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          7,          10,      -8.891349352,      -6.129167151,      -6.336122024,      -3.382999313,      -5.432164792,      0.9329898399,      0.4338992482,       1.514580332,                 0,                 0,                 0,      0.1249247393,    -0.02788051889,       1.575260237,                 0,       3.490626771,      0.9432914594,       -3.36567878,       -2.98581982,      -3.302070438,      -3.324735737,      -3.185725197,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          8,          10,      -8.810344725,      -6.103169891,       -6.26643185,      -3.306584122,       -5.47150434,      0.9329898399,      0.4452710075,       1.518976999,                 0,                 0,                 0,      0.1386338366,    -0.01829111252,       1.582789572,                 0,       3.411353925,      0.9632476927,      -3.300670006,       -2.96367175,      -3.258191352,       -3.26291024,      -3.233896163,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          9,          10,      -8.759420825,      -6.057958411,       -6.23734547,      -3.256409135,       -5.47249609,      0.9329898399,      0.4627196095,       1.518252126,                 0,                 0,                 0,      0.1559238094,   -0.001392999027,        1.58719785,                 0,       3.281149307,      0.9782041742,      -3.260046903,      -2.935523918,      -3.252487207,      -3.223571577,      -3.244023649,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         10,          10,      -8.714618198,      -6.044320703,      -6.183093894,      -3.216831638,      -5.466073271,      0.9329898399,       0.483549245,       1.509762886,                 0,                 0,                 0,      0.1739382159,     0.02100849404,       1.585169545,                 0,       3.122252597,       0.985161005,      -3.223453276,      -2.947588092,      -3.211825683,      -3.193497592,      -3.246288758,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
