"Time_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
          0,          49,      -6.564598606,      -4.471303185,      -3.970529087,       -1.04462408,      -4.587028922,      0.9329898399,       4.129884432,       12.72870582,                 0,                 0,                 0,       2.983057953,      0.2279147044,       13.37998326,                 0,       3.082097339,     0.06996959334,      -1.201706341,      -1.307680031,     -0.8759488579,      -1.158384913,      -3.695460417,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          1,          49,      -6.748532728,      -4.532840254,      -4.120913622,      -1.233412179,      -4.333815894,      0.9329898399,        2.38937386,        9.17168984,                 0,                 0,                 0,       1.444805508,     -0.3965730077,       9.469515923,                 0,       3.838532761,      0.1752178101,       -1.55570841,      -1.680467596,      -1.537860257,      -1.491465866,      -2.466731252,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          2,          49,      -6.682790852,      -4.588516556,      -4.155243604,      -1.210855915,      -4.742200655,      0.9329898399,        1.58568278,       6.707418248,                 0,                 0,                 0,      0.6567205258,     -0.4446633238,       6.877944748,                 0,       4.229987444,      0.2196793921,      -1.631628196,      -1.969915015,      -1.722068379,      -1.609484137,      -3.001142056,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          3,          49,      -6.772394083,      -4.907660158,      -4.362674722,      -1.292073866,      -5.085069232,      0.9329898399,       1.251647857,       4.949554233,                 0,                 0,                 0,      0.5105614633,       -0.25015281,        5.09922867,                 0,       3.954430317,       0.722414395,      -1.795332076,      -2.423556011,      -1.994820812,      -1.776234797,      -3.441493754,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          4,          17,      -7.892744706,      -5.439031242,      -5.443282892,      -2.423224315,      -4.322399287,      0.9329898399,        1.08258251,       3.893316214,                 0,                 0,                 0,      0.5491760914,     -0.1030166957,       4.039713305,                 0,       3.596322847,      0.8814364935,      -2.979188876,      -3.009902083,      -3.109545607,      -2.976652889,      -2.756306743,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          5,          10,      -7.997843457,      -5.173967205,      -5.242987941,      -2.506832363,      -3.956069154,      0.9329898399,      0.7773562806,       2.570157423,                 0,                 0,                 0,      0.4494825861,   -0.008051798807,       2.685130748,                 0,        3.30627987,      0.8425341336,      -3.147042151,      -2.753500162,      -2.931218027,      -3.122287744,      -2.491812903,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          6,          10,      -8.087254162,      -5.284319099,      -5.447963735,      -2.613295507,      -4.050848031,      0.9329898399,      0.4864742264,       1.382151675,                 0,                 0,                 0,      0.3282800911,     0.06111557491,       1.463989519,                 0,       2.841161155,      0.7556353197,       -3.29064798,      -2.866870994,      -3.167631235,      -3.280831596,      -2.679747029,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          7,           9,      -7.970696969,      -5.192528403,       -5.30271368,      -2.491867233,      -4.052504503,      0.9329898399,      0.2833799565,      0.4601756295,                 0,                 0,                 0,       0.240500903,      0.1364552669,       0.522920424,                 0,       1.623882067,      0.6732659237,      -3.224211606,      -2.793890595,      -3.065531112,      -3.207474136,      -2.788327083,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          8,           9,      -7.884227563,      -5.171064726,      -5.252899376,      -2.401265629,      -3.893194817,      0.9329898399,      0.1373936498,     -0.2308672264,                 0,                 0,                 0,      0.1725770947,      0.1988892453,      -0.180609411,                 0,      -1.680334038,      0.5689446359,      -3.191306447,      -2.805803298,      -3.063225554,      -3.168364602,      -2.653659802,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          9,          49,      -6.926423746,      -4.973556483,      -4.355168227,      -1.449054336,      -4.229045495,      0.9329898399,  -4.620795445e-05,     -0.7253461926,                 0,                 0,                 0,       0.082627713,      0.2120265139,     -0.6936655236,                 0,       15697.43135,      0.3852173439,      -2.273251735,      -2.640621337,      -2.198748353,      -2.253605958,      -3.006522017,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         10,          49,      -6.838507166,      -4.796549564,      -4.316881459,      -1.358830706,      -4.932670064,      0.9329898399,     -0.3765289352,      -1.569872363,                 0,                 0,                 0,    -0.09675963177,     0.09890984748,      -1.611362814,                 0,       4.169327285,      0.2548653468,       -2.20718116,       -2.48765644,      -2.178895342,      -2.185243815,       -3.73856361,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         11,          49,      -6.843005484,      -4.838489192,      -4.154456526,      -1.333369926,      -4.879909902,      0.9329898399,     -0.7321794035,      -2.103426022,                 0,                 0,                 0,     -0.1931070714,    -0.08520439406,      -2.225584849,                 0,       2.872828724,      0.2923527889,      -2.230362568,      -2.550004426,      -2.031341377,      -2.180001704,      -3.748953263,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         12,          49,      -6.765808259,      -4.750496396,      -4.210486871,      -1.266371633,      -5.159601658,      0.9329898399,     -0.8376024301,      -2.123269002,                 0,                 0,                 0,    -0.06439958475,     -0.1802194098,      -2.275383495,                 0,       2.534936535,      0.4913935768,      -2.172702028,      -2.478063362,      -2.099756067,       -2.13267686,      -4.029272203,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         13,          49,      -6.661936685,      -4.645906987,      -4.090030086,      -1.163591983,      -4.941394079,      0.9329898399,     -0.9800200772,      -2.283739802,                 0,                 0,                 0,      -0.097283642,     -0.2694969616,      -2.470481375,                 0,       2.330298996,      0.8074321994,      -2.087870958,      -2.383131877,      -1.993033012,      -2.048478762,      -3.844410363,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         14,          49,        -6.6940853,      -4.547948498,       -4.10395341,      -1.237647356,      -4.783941198,      0.9329898399,     -0.7915804685,      -1.918135869,                 0,                 0,                 0,      0.0173878654,      -0.196183513,      -2.065758185,                 0,       2.423172305,       1.005024142,      -2.134302448,      -2.295260506,      -2.020544844,      -2.137056974,      -3.714045544,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
