"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Nu_Tilde","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Velocity:0","Velocity:1","Velocity:2","Y_Plus","Points:0","Points:1","Points:2"
0.96728,0,2.7719,-0,6.0567e-08,0,0,0,0,0,1.1088,0.19047,0.00066585,0.00026748,-7.7225e-05,1.131,0,0,0,0.74031,0.9662,0.65,0.0030455
0.97375,0,2.7913,-0,6.0581e-08,0,0,0,0,0,1.1165,0.20599,0.00059346,0.00027512,-6.7467e-05,1.1313,0,0,0,0.7088,0.97256,0.65,0.0022136
0.97484,0,2.7945,-0,6.0583e-08,0,0,0,0,0,1.1178,0.2086,0.00058266,0.0002764,-6.6005e-05,1.1314,0,0,0,0.70418,0.97355,0.65,0.0020839
0.82559,0,2.354,-0,6.0339e-08,0,0,0,0,0,0.9416,-0.14382,0.003418,-9.6295e-05,-0.00020856,1.1253,0,0,0,1.4957,0.48821,0.65,-0.026495
0.83566,0,2.3833,-0,6.035e-08,0,0,0,0,0,0.95333,-0.12037,0.0034527,-7.7306e-05,-0.0002581,1.1256,0,0,0,1.5128,0.47042,0.65,-0.025227
0.84271,0,2.4039,-0,6.0359e-08,0,0,0,0,0,0.96156,-0.10392,0.0034766,-6.3812e-05,-0.0002938,1.1258,0,0,0,1.5247,0.45765,0.65,-0.024281
0.88029,0,2.5163,-0,6.0453e-08,0,0,0,0,0,1.0065,-0.014011,0.0020622,0.00012098,0.00021335,1.1281,0,0,0,1.2001,0.89291,0.65,-0.01187
0.87216,0,2.4925,-0,6.0442e-08,0,0,0,0,0,0.99698,-0.033066,0.0021304,0.00010781,0.00021226,1.1279,0,0,0,1.214,0.87963,0.65,-0.013274
0.88897,0,2.5417,-0,6.0464e-08,0,0,0,0,0,1.0167,0.006329,0.0019881,0.0001356,0.00021423,1.1284,0,0,0,1.1847,0.90701,0.65,-0.01037
0.96546,0,2.7665,-0,6.0564e-08,0,0,0,0,0,1.1066,0.18614,0.00068393,0.00026583,-7.9611e-05,1.1309,0,0,0,0.74785,0.96454,0.65,0.003262
0.95657,0,2.74,-0,6.0547e-08,0,0,0,0,0,1.096,0.16495,0.0007746,0.00025831,-9.1516e-05,1.1305,0,0,0,0.78578,0.95664,0.65,0.004296
0.43383,0,1.2242,-0,5.9868e-08,0,0,0,0,0,0.48968,-1.0477,0.0041383,-0.00078445,0.0008498,1.1137,0,0,0,1.224,0.4018,0.65,0.017524
0.43293,0,1.2216,-0,5.9865e-08,0,0,0,0,0,0.48864,-1.0498,0.0041031,-0.00076844,0.00080563,1.1136,0,0,0,1.2162,0.40252,0.65,0.017669
0.4499,0,1.2705,-0,5.9901e-08,0,0,0,0,0,0.5082,-1.0106,0.004615,-0.00098925,0.001468,1.1145,0,0,0,1.3361,0.39258,0.65,0.015581
0.88521,0,2.5306,-0,6.0458e-08,0,0,0,0,0,1.0123,-0.002513,0.0039521,-4.5176e-05,-0.0011208,1.1283,0,0,0,1.6929,0.39258,0.65,-0.015581
0.88597,0,2.5329,-0,6.0461e-08,0,0,0,0,0,1.0132,-0.00068857,0.0039601,-4.6033e-05,-0.0011416,1.1283,0,0,0,1.6962,0.39212,0.65,-0.015485
0.88604,0,2.5331,-0,6.0461e-08,0,0,0,0,0,1.0133,-0.00051752,0.0039607,-4.607e-05,-0.0011433,1.1283,0,0,0,1.6964,0.39209,0.65,-0.015478
0.45068,0,1.2728,-0,5.9903e-08,0,0,0,0,0,0.5091,-1.0088,0.0046385,-0.00099939,0.0014985,1.1146,0,0,0,1.3416,0.39212,0.65,0.015485
