"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Nu_Tilde","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Velocity:0","Velocity:1","Velocity:2","Y_Plus","Points:0","Points:1","Points:2"
0.47108,0,1.3402,-0,6.0237e-08,0,0,0,0,0,0.53608,-0.95486,0.0018151,-0.00022381,0.00022843,1.1228,0,0,0,8.0539,0.42865,0.65,0.021534
0.51475,0,1.4664,-0,6.0298e-08,0,0,0,0,0,0.58657,-0.85389,0.0016038,-0.00010238,0.00016912,1.1243,0,0,0,7.9772,0.44071,0.65,0.02285
0.5634,0,1.6071,-0,6.0356e-08,0,0,0,0,0,0.64284,-0.74136,0.0014456,-2.0101e-05,0.00012704,1.1257,0,0,0,7.9875,0.45399,0.65,0.0241
0.59926,0,1.7107,-0,6.0392e-08,0,0,0,0,0,0.6843,-0.65844,0.0013786,9.2319e-06,0.00010202,1.1266,0,0,0,8.1156,0.46845,0.65,0.025266
0.61621,0,1.7591,-0,6.0393e-08,0,0,0,0,0,0.70364,-0.61975,0.0013998,2.9663e-06,8.805e-05,1.1267,0,0,0,8.3584,0.48405,0.65,0.026335
0.61974,0,1.7683,-0,6.0369e-08,0,0,0,0,0,0.7073,-0.61242,0.0014594,-1.7937e-05,7.7752e-05,1.1261,0,0,0,8.6206,0.50072,0.65,0.027299
0.6173,0,1.7603,-0,6.0344e-08,0,0,0,0,0,0.70412,-0.6188,0.0015063,-4.0698e-05,6.667e-05,1.1254,0,0,0,8.7913,0.51838,0.65,0.028147
0.61287,0,1.7467,-0,6.0319e-08,0,0,0,0,0,0.6987,-0.62964,0.0015386,-6.0189e-05,5.4305e-05,1.1248,0,0,0,8.9008,0.53694,0.65,0.028867
0.60715,0,1.7295,-0,6.0294e-08,0,0,0,0,0,0.69179,-0.64345,0.0015697,-7.7235e-05,4.0775e-05,1.1242,0,0,0,8.9895,0.5563,0.65,0.02944
0.59845,0,1.7041,-0,6.0279e-08,0,0,0,0,0,0.68165,-0.66374,0.0015819,-9.3241e-05,2.5313e-05,1.1238,0,0,0,8.9924,0.57634,0.65,0.02984
0.8084,0,2.3126,-0,6.0488e-08,0,0,0,0,0,0.92502,-0.17699,0.0013827,-6.0852e-05,-6.2031e-05,1.129,0,0,0,9.619,0.51838,0.65,-0.028147
0.81657,0,2.3365,-0,6.0498e-08,0,0,0,0,0,0.93458,-0.15786,0.0013917,-5.5834e-05,-7.5705e-05,1.1293,0,0,0,9.6464,0.50072,0.65,-0.027299
0.82455,0,2.3598,-0,6.0508e-08,0,0,0,0,0,0.94392,-0.1392,0.0014062,-5.1182e-05,-9.0919e-05,1.1295,0,0,0,9.6762,0.48405,0.65,-0.026335
0.83267,0,2.3836,-0,6.0519e-08,0,0,0,0,0,0.95344,-0.12015,0.0014243,-4.6362e-05,-0.00010828,1.1298,0,0,0,9.7115,0.46845,0.65,-0.025266
0.84135,0,2.4091,-0,6.053e-08,0,0,0,0,0,0.96362,-0.099792,0.0014452,-4.0588e-05,-0.00012821,1.13,0,0,0,9.7436,0.45399,0.65,-0.0241
0.85076,0,2.4367,-0,6.0543e-08,0,0,0,0,0,0.97467,-0.077697,0.0014668,-3.302e-05,-0.00015067,1.1304,0,0,0,9.7681,0.44071,0.65,-0.02285
0.86069,0,2.4659,-0,6.0558e-08,0,0,0,0,0,0.98637,-0.054301,0.0014859,-2.3194e-05,-0.0001751,1.1307,0,0,0,9.7657,0.42865,0.65,-0.021534
0.87093,0,2.4963,-0,6.0576e-08,0,0,0,0,0,0.99851,-0.030017,0.0014971,-1.1362e-05,-0.00020028,1.1312,0,0,0,9.719,0.41782,0.65,-0.020179
0.87663,0,2.5136,-0,6.0593e-08,0,0,0,0,0,1.0054,-0.016184,0.0015247,-5.0729e-06,-0.00022983,1.1316,0,0,0,9.6674,0.40822,0.65,-0.018815
0.86837,0,2.4903,-0,6.0602e-08,0,0,0,0,0,0.99613,-0.034771,0.0016412,-2.4507e-05,-0.00029696,1.1318,0,0,0,9.753,0.39982,0.65,-0.017472
0.86297,0,2.477,-0,6.0642e-08,0,0,0,0,0,0.99082,-0.045395,0.0017547,-5.7926e-05,-0.00044884,1.1328,0,0,0,9.7595,0.3926,0.65,-0.016013
0.90141,0,2.59,-0,6.0689e-08,0,0,0,0,0,1.036,0.044989,0.0018336,-2.5211e-05,-0.00072576,1.134,0,0,0,9.9818,0.38657,0.65,-0.014149
0.99015,0,2.8485,-0,6.0745e-08,0,0,0,0,0,1.1394,0.25174,0.0017162,0.00016018,-0.00099663,1.1354,0,0,0,10.206,0.38179,0.65,-0.01177
