"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,           0,      -4.614631717,      -4.651922399,      -5.249604791
          0,           0,           1,      -4.765048711,      -1.396478953,      -1.604235524
          0,           0,           2,      -4.765035621,      -1.396472262,      -1.604234575
          0,           0,           3,      -4.765037875,      -1.396472407,      -1.604234596
          0,           0,           4,      -4.765038053,      -1.396472405,       -1.60423462
          0,           0,           5,      -4.765037857,      -1.396472403,      -1.604234612
          0,           0,           6,      -4.765037864,      -1.396472403,      -1.604234615
          0,           0,           7,      -4.765037842,      -1.396472402,      -1.604234614
          0,           0,           8,      -4.765037842,      -1.396472402,      -1.604234614
          0,           0,           9,      -4.765037835,      -1.396472402,      -1.604234614
          0,           0,          10,       -4.76503784,      -1.396472402,      -1.604234614
          0,           0,          11,      -4.765037837,      -1.396472402,      -1.604234614
          0,           0,          12,      -4.765037845,      -1.396472402,      -1.604234614
          0,           0,          13,      -4.765037841,      -1.396472402,      -1.604234614
          0,           0,          14,      -4.765037841,      -1.396472402,      -1.604234614
          0,           0,          15,      -4.765037843,      -1.396472402,      -1.604234614
          0,           0,          16,      -4.765037831,      -1.396472402,      -1.604234614
          0,           0,          17,      -4.765037835,      -1.396472402,      -1.604234614
          0,           0,          18,      -4.765037838,      -1.396472402,      -1.604234614
          0,           0,          19,      -4.765037845,      -1.396472402,      -1.604234614
          0,           0,          20,       -4.76503784,      -1.396472402,      -1.604234614
          0,           0,          21,      -4.765037836,      -1.396472402,      -1.604234614
          0,           0,          22,      -4.765037839,      -1.396472402,      -1.604234614
          0,           0,          23,       -4.76503784,      -1.396472402,      -1.604234614
          0,           0,          24,      -4.765037844,      -1.396472402,      -1.604234614
          0,           0,          25,      -4.765037842,      -1.396472402,      -1.604234614
          0,           0,          26,      -4.765037838,      -1.396472402,      -1.604234614
          0,           0,          27,      -4.765037843,      -1.396472402,      -1.604234614
          0,           0,          28,      -4.765037832,      -1.396472402,      -1.604234613
          0,           0,          29,      -4.765037837,      -1.396472402,      -1.604234614
          0,           0,          30,      -4.765037835,      -1.396472402,      -1.604234614
          0,           0,          31,      -4.765037843,      -1.396472402,      -1.604234614
          0,           0,          32,      -4.765037841,      -1.396472402,      -1.604234614
          0,           0,          33,      -4.765037841,      -1.396472402,      -1.604234614
          0,           0,          34,      -4.765037846,      -1.396472402,      -1.604234614
          0,           0,          35,       -4.76503784,      -1.396472402,      -1.604234614
          0,           0,          36,      -4.765037842,      -1.396472402,      -1.604234614
          0,           0,          37,      -4.765037833,      -1.396472402,      -1.604234614
          0,           0,          38,      -4.765037839,      -1.396472402,      -1.604234614
          0,           0,          39,      -4.765037846,      -1.396472402,      -1.604234614
          0,           0,          40,      -4.765037836,      -1.396472402,      -1.604234614
          0,           0,          41,      -4.765037841,      -1.396472402,      -1.604234614
          0,           0,          42,       -4.76503784,      -1.396472402,      -1.604234614
